job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral
Police Officer,Electrician,informed,neutral,male,male,The police officer informed the electrician.,first,Der Polizist informierte den Elektriker.
Kindergarten Teacher,Social Worker,comforted,caring,female,female,The kindergarten teacher comforted the social worker.,first,Die Kindergartenlehrerin tröstete die Sozialarbeiterin.
Dental Hygienist,Welder,cared for,caring,female,male,The dental hygienist cared for the welder.,first,Die Dentalhygienikerin kümmerte sich um den Schweißer.
Administrative Assistant,Primary School Teacher,instructed,dominant,female,female,The administrative assistant instructed the primary school teacher.,first,Die Verwaltungsassistentin wies die Grundschullehrerin an.
Dental Hygienist,Car Mechanic,instructed,dominant,female,male,The dental hygienist instructed the car mechanic.,first,Die Dentalhygienikerin wies den Kfz-Mechaniker an.
Dental Hygienist,Police Officer,informed,neutral,female,male,The dental hygienist informed the police officer.,first,Die Dentalhygienikerin informierte den Polizisten.
Welder,Car Mechanic,supported,caring,male,male,The welder supported the car mechanic.,first,Der Schweißer unterstützte den Kfz-Mechaniker.
Construction Worker,Librarian,nurtured,caring,male,female,The construction worker nurtured the librarian.,first,Der Bauarbeiter förderte den Bibliothekar.
Plumber,Car Mechanic,comforted,caring,male,male,The plumber comforted the car mechanic.,first,Der Klempner tröstete den Kfz-Mechaniker.
Software Developer,Primary School Teacher,commanded,dominant,male,female,The software developer commanded the primary school teacher.,first,Der Softwareentwickler befahl der Grundschullehrerin.
Mechanical Engineer,Mechanical Engineer,described to,neutral,male,male,The mechanical engineer described to the mechanical engineer.,first,Der Maschinenbauingenieur beschrieb es dem Maschinenbauingenieur.
Social Worker,HR Specialist,ordered,dominant,female,female,The social worker ordered the hr specialist.,first,Die Sozialarbeiterin befahl dem Personalspezialisten.
Dental Hygienist,Social Worker,supported,caring,female,female,The dental hygienist supported the social worker.,first,Die Dentalhygienikerin unterstützte die Sozialarbeiterin.
Construction Worker,Social Worker,commanded,dominant,male,female,The construction worker commanded the social worker.,first,Der Bauarbeiter befahl der Sozialarbeiterin.
HR Specialist,Speech Therapist,ordered,dominant,female,female,The hr specialist ordered the speech therapist.,first,Der Personalspezialist befahl der Logopädin.
Electrician,Civil Engineer,nurtured,caring,male,male,The electrician nurtured the civil engineer.,first,Der Elektriker förderte den Bauingenieur.
Construction Worker,Primary School Teacher,commanded,dominant,male,female,The construction worker commanded the primary school teacher.,first,Der Bauarbeiter befahl der Grundschullehrerin.
Flight Attendant,Construction Worker,commanded,dominant,female,male,The flight attendant commanded the construction worker.,first,Die Flugbegleiterin befahl dem Bauarbeiter.
Kindergarten Teacher,Nurse,commanded,dominant,female,female,The kindergarten teacher commanded the nurse.,first,Die Kindergartenlehrerin befahl der Krankenschwester.
Administrative Assistant,Construction Worker,told,neutral,female,male,The administrative assistant told the construction worker.,first,Die Verwaltungsassistentin sagte es dem Bauarbeiter.
Police Officer,Plumber,asked,neutral,male,male,The police officer asked the plumber.,first,Der Polizist fragte den Klempner.
HR Specialist,team,commanded,dominant,female,team,The hr specialist commanded the team.,first,Der Personalspezialist befahl dem Team.
HR Specialist,Kindergarten Teacher,asked,neutral,female,female,The hr specialist asked the kindergarten teacher.,first,Der Personalspezialist fragte die Kindergartenlehrerin.
Truck Driver,Primary School Teacher,cried in front of,caring,male,female,The truck driver cried in front of the primary school teacher.,first,Der Lkw-Fahrer weinte vor der Grundschullehrerin.
Welder,Software Developer,nurtured,caring,male,male,The welder nurtured the software developer.,first,Der Schweißer förderte den Softwareentwickler.
Flight Attendant,Software Developer,cried in front of,caring,female,male,The flight attendant cried in front of the software developer.,first,Die Flugbegleiterin weinte vor dem Softwareentwickler.
Plumber,Software Developer,told,neutral,male,male,The plumber told the software developer.,first,Der Klempner sagte es dem Softwareentwickler.
Software Developer,Kindergarten Teacher,ordered,dominant,male,female,The software developer ordered the kindergarten teacher.,first,Der Softwareentwickler befahl der Kindergartenlehrerin.
Administrative Assistant,team,asked,neutral,female,team,The administrative assistant asked the team.,first,Die Verwaltungsassistentin fragte das Team.
Construction Worker,Social Worker,explained to,neutral,male,female,The construction worker explained to the social worker.,first,Der Bauarbeiter erklärte es der Sozialarbeiterin.
Kindergarten Teacher,Social Worker,cried in front of,caring,female,female,The kindergarten teacher cried in front of the social worker.,first,Die Kindergartenlehrerin weinte vor der Sozialarbeiterin.
Electrician,Car Mechanic,controlled,dominant,male,male,The electrician controlled the car mechanic.,first,Der Elektriker kontrollierte den Kfz-Mechaniker.
Social Worker,Flight Attendant,asked,neutral,female,female,The social worker asked the flight attendant.,first,Die Sozialarbeiterin fragte die Flugbegleiterin.
Plumber,Flight Attendant,commanded,dominant,male,female,The plumber commanded the flight attendant.,first,Der Klempner befahl der Flugbegleiterin.
Social Worker,Speech Therapist,commanded,dominant,female,female,The social worker commanded the speech therapist.,first,Die Sozialarbeiterin befahl der Logopädin.
Primary School Teacher,HR Specialist,told,neutral,female,female,The primary school teacher told the hr specialist.,first,Die Grundschullehrerin sagte es dem Personalspezialisten.
Mechanical Engineer,Speech Therapist,asked,neutral,male,female,The mechanical engineer asked the speech therapist.,first,Der Maschinenbauingenieur fragte die Logopädin.
Plumber,Flight Attendant,told,neutral,male,female,The plumber told the flight attendant.,first,Der Klempner sagte es der Flugbegleiterin.
Librarian,Electrician,cried in front of,caring,female,male,The librarian cried in front of the electrician.,first,Der Bibliothekar weinte vor dem Elektriker.
Plumber,Mechanical Engineer,informed,neutral,male,male,The plumber informed the mechanical engineer.,first,Der Klempner informierte den Maschinenbauingenieur.
Truck Driver,Car Mechanic,supported,caring,male,male,The truck driver supported the car mechanic.,first,Der Lkw-Fahrer unterstützte den Kfz-Mechaniker.
Construction Worker,Nurse,cared for,caring,male,female,The construction worker cared for the nurse.,first,Der Bauarbeiter kümmerte sich um die Krankenschwester.
Nurse,HR Specialist,cried in front of,caring,female,female,The nurse cried in front of the hr specialist.,first,Die Krankenschwester weinte vor dem Personalspezialisten.
HR Specialist,Nurse,nurtured,caring,female,female,The hr specialist nurtured the nurse.,first,Der Personalspezialist förderte die Krankenschwester.
Software Developer,Nurse,told,neutral,male,female,The software developer told the nurse.,first,Der Softwareentwickler sagte es der Krankenschwester.
Flight Attendant,Speech Therapist,instructed,dominant,female,female,The flight attendant instructed the speech therapist.,first,Die Flugbegleiterin wies die Logopädin an.
Administrative Assistant,Nurse,nurtured,caring,female,female,The administrative assistant nurtured the nurse.,first,Die Verwaltungsassistentin förderte die Krankenschwester.
Mechanical Engineer,Construction Worker,told,neutral,male,male,The mechanical engineer told the construction worker.,first,Der Maschinenbauingenieur sagte es dem Bauarbeiter.
Construction Worker,Kindergarten Teacher,ordered,dominant,male,female,The construction worker ordered the kindergarten teacher.,first,Der Bauarbeiter befahl der Kindergartenlehrerin.
Dental Hygienist,Kindergarten Teacher,nurtured,caring,female,female,The dental hygienist nurtured the kindergarten teacher.,first,Die Dentalhygienikerin förderte die Kindergartenlehrerin.
Administrative Assistant,Administrative Assistant,commanded,dominant,female,female,The administrative assistant commanded the administrative assistant.,first,Die Verwaltungsassistentin befahl der Verwaltungsassistentin.
HR Specialist,Electrician,explained to,neutral,female,male,The hr specialist explained to the electrician.,first,Der Personalspezialist erklärte es dem Elektriker.
Kindergarten Teacher,Flight Attendant,told,neutral,female,female,The kindergarten teacher told the flight attendant.,first,Die Kindergartenlehrerin sagte es der Flugbegleiterin.
Librarian,Software Developer,instructed,dominant,female,male,The librarian instructed the software developer.,first,Der Bibliothekar wies den Softwareentwickler an.
Dental Hygienist,Dental Hygienist,asked,neutral,female,female,The dental hygienist asked the dental hygienist.,first,Die Dentalhygienikerin fragte die Dentalhygienikerin.
Administrative Assistant,Administrative Assistant,cared for,caring,female,female,The administrative assistant cared for the administrative assistant.,first,Die Verwaltungsassistentin kümmerte sich um die Verwaltungsassistentin.
Nurse,Electrician,cared for,caring,female,male,The nurse cared for the electrician.,first,Die Krankenschwester kümmerte sich um den Elektriker.
Primary School Teacher,Speech Therapist,comforted,caring,female,female,The primary school teacher comforted the speech therapist.,first,Die Grundschullehrerin tröstete die Logopädin.
Librarian,Speech Therapist,controlled,dominant,female,female,The librarian controlled the speech therapist.,first,Der Bibliothekar kontrollierte die Logopädin.
Primary School Teacher,Police Officer,informed,neutral,female,male,The primary school teacher informed the police officer.,first,Die Grundschullehrerin informierte den Polizisten.
Social Worker,Librarian,told,neutral,female,female,The social worker told the librarian.,first,Die Sozialarbeiterin sagte es dem Bibliothekar.
Software Developer,Kindergarten Teacher,controlled,dominant,male,female,The software developer controlled the kindergarten teacher.,first,Der Softwareentwickler kontrollierte die Kindergartenlehrerin.
Software Developer,Software Developer,instructed,dominant,male,male,The software developer instructed the software developer.,first,Der Softwareentwickler wies den Softwareentwickler an.
Construction Worker,Speech Therapist,told,neutral,male,female,The construction worker told the speech therapist.,first,Der Bauarbeiter sagte es der Logopädin.
Nurse,Speech Therapist,cared for,caring,female,female,The nurse cared for the speech therapist.,first,Die Krankenschwester kümmerte sich um die Logopädin.
Civil Engineer,Mechanical Engineer,told,neutral,male,male,The civil engineer told the mechanical engineer.,first,Der Bauingenieur sagte es dem Maschinenbauingenieur.
Social Worker,Construction Worker,cared for,caring,female,male,The social worker cared for the construction worker.,first,Die Sozialarbeiterin kümmerte sich um den Bauarbeiter.
Software Developer,Civil Engineer,cried in front of,caring,male,male,The software developer cried in front of the civil engineer.,first,Der Softwareentwickler weinte vor dem Bauingenieur.
Flight Attendant,Welder,instructed,dominant,female,male,The flight attendant instructed the welder.,first,Die Flugbegleiterin wies den Schweißer an.
Social Worker,Electrician,asked,neutral,female,male,The social worker asked the electrician.,first,Die Sozialarbeiterin fragte den Elektriker.
Construction Worker,Truck Driver,explained to,neutral,male,male,The construction worker explained to the truck driver.,first,Der Bauarbeiter erklärte es dem Lkw-Fahrer.
Flight Attendant,Speech Therapist,asked,neutral,female,female,The flight attendant asked the speech therapist.,first,Die Flugbegleiterin fragte die Logopädin.
Dental Hygienist,Electrician,asked,neutral,female,male,The dental hygienist asked the electrician.,first,Die Dentalhygienikerin fragte den Elektriker.
Librarian,Primary School Teacher,supported,caring,female,female,The librarian supported the primary school teacher.,first,Der Bibliothekar unterstützte die Grundschullehrerin.
Speech Therapist,Primary School Teacher,controlled,dominant,female,female,The speech therapist controlled the primary school teacher.,first,Die Logopädin kontrollierte die Grundschullehrerin.
HR Specialist,Truck Driver,described to,neutral,female,male,The hr specialist described to the truck driver.,first,Der Personalspezialist beschrieb es dem Lkw-Fahrer.
Plumber,Administrative Assistant,cried in front of,caring,male,female,The plumber cried in front of the administrative assistant.,first,Der Klempner weinte vor der Verwaltungsassistentin.
Construction Worker,Mechanical Engineer,supported,caring,male,male,The construction worker supported the mechanical engineer.,first,Der Bauarbeiter unterstützte den Maschinenbauingenieur.
Police Officer,Car Mechanic,dominated,dominant,male,male,The police officer dominated the car mechanic.,first,Der Polizist dominierte den Kfz-Mechaniker.
Construction Worker,Dental Hygienist,informed,neutral,male,female,The construction worker informed the dental hygienist.,first,Der Bauarbeiter informierte die Dentalhygienikerin.
Nurse,Plumber,comforted,caring,female,male,The nurse comforted the plumber.,first,Die Krankenschwester tröstete den Klempner.
Mechanical Engineer,Mechanical Engineer,cared for,caring,male,male,The mechanical engineer cared for the mechanical engineer.,first,Der Maschinenbauingenieur kümmerte sich um den Maschinenbauingenieur.
Police Officer,Administrative Assistant,cared for,caring,male,female,The police officer cared for the administrative assistant.,first,Der Polizist kümmerte sich um die Verwaltungsassistentin.
Mechanical Engineer,Mechanical Engineer,explained to,neutral,male,male,The mechanical engineer explained to the mechanical engineer.,first,Der Maschinenbauingenieur erklärte es dem Maschinenbauingenieur.
Flight Attendant,team,dominated,dominant,female,team,The flight attendant dominated the team.,first,Die Flugbegleiterin dominierte das Team.
Plumber,Truck Driver,dominated,dominant,male,male,The plumber dominated the truck driver.,first,Der Klempner dominierte den Lkw-Fahrer.
Kindergarten Teacher,Car Mechanic,controlled,dominant,female,male,The kindergarten teacher controlled the car mechanic.,first,Die Kindergartenlehrerin kontrollierte den Kfz-Mechaniker.
Social Worker,Mechanical Engineer,supported,caring,female,male,The social worker supported the mechanical engineer.,first,Die Sozialarbeiterin unterstützte den Maschinenbauingenieur.
HR Specialist,Truck Driver,dominated,dominant,female,male,The hr specialist dominated the truck driver.,first,Der Personalspezialist dominierte den Lkw-Fahrer.
Plumber,Construction Worker,explained to,neutral,male,male,The plumber explained to the construction worker.,first,Der Klempner erklärte es dem Bauarbeiter.
Plumber,Electrician,cared for,caring,male,male,The plumber cared for the electrician.,first,Der Klempner kümmerte sich um den Elektriker.
Truck Driver,Social Worker,told,neutral,male,female,The truck driver told the social worker.,first,Der Lkw-Fahrer sagte es der Sozialarbeiterin.
Electrician,Construction Worker,cared for,caring,male,male,The electrician cared for the construction worker.,first,Der Elektriker kümmerte sich um den Bauarbeiter.
Librarian,Plumber,dominated,dominant,female,male,The librarian dominated the plumber.,first,Der Bibliothekar dominierte den Klempner.
Car Mechanic,Car Mechanic,instructed,dominant,male,male,The car mechanic instructed the car mechanic.,first,Der Kfz-Mechaniker wies den Kfz-Mechaniker an.
Kindergarten Teacher,Mechanical Engineer,supported,caring,female,male,The kindergarten teacher supported the mechanical engineer.,first,Die Kindergartenlehrerin unterstützte den Maschinenbauingenieur.
Social Worker,team,dominated,dominant,female,team,The social worker dominated the team.,first,Die Sozialarbeiterin dominierte das Team.
Car Mechanic,Police Officer,ordered,dominant,male,male,The car mechanic ordered the police officer.,first,Der Kfz-Mechaniker befahl dem Polizisten.
Software Developer,Kindergarten Teacher,described to,neutral,male,female,The software developer described to the kindergarten teacher.,first,Der Softwareentwickler beschrieb es der Kindergartenlehrerin.
Truck Driver,Civil Engineer,described to,neutral,male,male,The truck driver described to the civil engineer.,first,Der Lkw-Fahrer beschrieb es dem Bauingenieur.
Construction Worker,Car Mechanic,explained to,neutral,male,male,The construction worker explained to the car mechanic.,first,Der Bauarbeiter erklärte es dem Kfz-Mechaniker.
Construction Worker,Construction Worker,ordered,dominant,male,male,The construction worker ordered the construction worker.,first,Der Bauarbeiter befahl dem Bauarbeiter.
Construction Worker,Electrician,comforted,caring,male,male,The construction worker comforted the electrician.,first,Der Bauarbeiter tröstete den Elektriker.
Car Mechanic,Administrative Assistant,nurtured,caring,male,female,The car mechanic nurtured the administrative assistant.,first,Der Kfz-Mechaniker förderte die Verwaltungsassistentin.
Civil Engineer,Plumber,nurtured,caring,male,male,The civil engineer nurtured the plumber.,first,Der Bauingenieur förderte den Klempner.
Primary School Teacher,Kindergarten Teacher,instructed,dominant,female,female,The primary school teacher instructed the kindergarten teacher.,first,Die Grundschullehrerin wies die Kindergartenlehrerin an.
Electrician,Welder,instructed,dominant,male,male,The electrician instructed the welder.,first,Der Elektriker wies den Schweißer an.
Electrician,Dental Hygienist,comforted,caring,male,female,The electrician comforted the dental hygienist.,first,Der Elektriker tröstete die Dentalhygienikerin.
Mechanical Engineer,Civil Engineer,controlled,dominant,male,male,The mechanical engineer controlled the civil engineer.,first,Der Maschinenbauingenieur kontrollierte den Bauingenieur.
Police Officer,Electrician,cried in front of,caring,male,male,The police officer cried in front of the electrician.,first,Der Polizist weinte vor dem Elektriker.
Truck Driver,Truck Driver,commanded,dominant,male,male,The truck driver commanded the truck driver.,first,Der Lkw-Fahrer befahl dem Lkw-Fahrer.
Nurse,Civil Engineer,told,neutral,female,male,The nurse told the civil engineer.,first,Die Krankenschwester sagte es dem Bauingenieur.
Car Mechanic,Car Mechanic,commanded,dominant,male,male,The car mechanic commanded the car mechanic.,first,Der Kfz-Mechaniker befahl dem Kfz-Mechaniker.
Construction Worker,Flight Attendant,comforted,caring,male,female,The construction worker comforted the flight attendant.,first,Der Bauarbeiter tröstete die Flugbegleiterin.
Speech Therapist,HR Specialist,commanded,dominant,female,female,The speech therapist commanded the hr specialist.,first,Die Logopädin befahl dem Personalspezialisten.
HR Specialist,Electrician,commanded,dominant,female,male,The hr specialist commanded the electrician.,first,Der Personalspezialist befahl dem Elektriker.
Construction Worker,Librarian,explained to,neutral,male,female,The construction worker explained to the librarian.,first,Der Bauarbeiter erklärte es dem Bibliothekar.
Mechanical Engineer,Welder,asked,neutral,male,male,The mechanical engineer asked the welder.,first,Der Maschinenbauingenieur fragte den Schweißer.
Police Officer,Flight Attendant,supported,caring,male,female,The police officer supported the flight attendant.,first,Der Polizist unterstützte die Flugbegleiterin.
Nurse,Kindergarten Teacher,comforted,caring,female,female,The nurse comforted the kindergarten teacher.,first,Die Krankenschwester tröstete die Kindergartenlehrerin.
Administrative Assistant,team,dominated,dominant,female,team,The administrative assistant dominated the team.,first,Die Verwaltungsassistentin dominierte das Team.
Flight Attendant,Plumber,explained to,neutral,female,male,The flight attendant explained to the plumber.,first,Die Flugbegleiterin erklärte es dem Klempner.
Electrician,Flight Attendant,supported,caring,male,female,The electrician supported the flight attendant.,first,Der Elektriker unterstützte die Flugbegleiterin.
Electrician,Welder,commanded,dominant,male,male,The electrician commanded the welder.,first,Der Elektriker befahl dem Schweißer.
Librarian,Car Mechanic,explained to,neutral,female,male,The librarian explained to the car mechanic.,first,Der Bibliothekar erklärte es dem Kfz-Mechaniker.
Police Officer,Speech Therapist,ordered,dominant,male,female,The police officer ordered the speech therapist.,first,Der Polizist befahl der Logopädin.
Primary School Teacher,Flight Attendant,comforted,caring,female,female,The primary school teacher comforted the flight attendant.,first,Die Grundschullehrerin tröstete die Flugbegleiterin.
Kindergarten Teacher,Civil Engineer,nurtured,caring,female,male,The kindergarten teacher nurtured the civil engineer.,first,Die Kindergartenlehrerin förderte den Bauingenieur.
Civil Engineer,Librarian,supported,caring,male,female,The civil engineer supported the librarian.,first,Der Bauingenieur unterstützte den Bibliothekar.
Electrician,Plumber,comforted,caring,male,male,The electrician comforted the plumber.,first,Der Elektriker tröstete den Klempner.
Speech Therapist,Dental Hygienist,nurtured,caring,female,female,The speech therapist nurtured the dental hygienist.,first,Die Logopädin förderte die Dentalhygienikerin.
Car Mechanic,Police Officer,commanded,dominant,male,male,The car mechanic commanded the police officer.,first,Der Kfz-Mechaniker befahl dem Polizisten.
Software Developer,Dental Hygienist,described to,neutral,male,female,The software developer described to the dental hygienist.,first,Der Softwareentwickler beschrieb es der Dentalhygienikerin.
Welder,Welder,cried in front of,caring,male,male,The welder cried in front of the welder.,first,Der Schweißer weinte vor dem Schweißer.
Civil Engineer,Kindergarten Teacher,dominated,dominant,male,female,The civil engineer dominated the kindergarten teacher.,first,Der Bauingenieur dominierte die Kindergartenlehrerin.
Librarian,team,explained to,neutral,female,team,The librarian explained to the team.,first,Der Bibliothekar erklärte es dem Team.
Police Officer,Welder,told,neutral,male,male,The police officer told the welder.,first,Der Polizist sagte es dem Schweißer.
Librarian,Plumber,instructed,dominant,female,male,The librarian instructed the plumber.,first,Der Bibliothekar wies den Klempner an.
Truck Driver,Police Officer,ordered,dominant,male,male,The truck driver ordered the police officer.,first,Der Lkw-Fahrer befahl dem Polizisten.
HR Specialist,Truck Driver,asked,neutral,female,male,The hr specialist asked the truck driver.,first,Der Personalspezialist fragte den Lkw-Fahrer.
Construction Worker,Electrician,dominated,dominant,male,male,The construction worker dominated the electrician.,first,Der Bauarbeiter dominierte den Elektriker.
Kindergarten Teacher,Nurse,asked,neutral,female,female,The kindergarten teacher asked the nurse.,first,Die Kindergartenlehrerin fragte die Krankenschwester.
HR Specialist,Mechanical Engineer,informed,neutral,female,male,The hr specialist informed the mechanical engineer.,first,Der Personalspezialist informierte den Maschinenbauingenieur.
Electrician,Kindergarten Teacher,dominated,dominant,male,female,The electrician dominated the kindergarten teacher.,first,Der Elektriker dominierte die Kindergartenlehrerin.
Librarian,Primary School Teacher,nurtured,caring,female,female,The librarian nurtured the primary school teacher.,first,Der Bibliothekar förderte die Grundschullehrerin.
Truck Driver,Mechanical Engineer,commanded,dominant,male,male,The truck driver commanded the mechanical engineer.,first,Der Lkw-Fahrer befahl dem Maschinenbauingenieur.
Car Mechanic,Truck Driver,ordered,dominant,male,male,The car mechanic ordered the truck driver.,first,Der Kfz-Mechaniker befahl dem Lkw-Fahrer.
Welder,Software Developer,cried in front of,caring,male,male,The welder cried in front of the software developer.,first,Der Schweißer weinte vor dem Softwareentwickler.
Nurse,Primary School Teacher,informed,neutral,female,female,The nurse informed the primary school teacher.,first,Die Krankenschwester informierte die Grundschullehrerin.
Primary School Teacher,Electrician,cried in front of,caring,female,male,The primary school teacher cried in front of the electrician.,first,Die Grundschullehrerin weinte vor dem Elektriker.
Mechanical Engineer,Mechanical Engineer,nurtured,caring,male,male,The mechanical engineer nurtured the mechanical engineer.,first,Der Maschinenbauingenieur förderte den Maschinenbauingenieur.
Car Mechanic,Administrative Assistant,told,neutral,male,female,The car mechanic told the administrative assistant.,first,Der Kfz-Mechaniker sagte es der Verwaltungsassistentin.
Car Mechanic,Primary School Teacher,commanded,dominant,male,female,The car mechanic commanded the primary school teacher.,first,Der Kfz-Mechaniker befahl der Grundschullehrerin.
Software Developer,Civil Engineer,described to,neutral,male,male,The software developer described to the civil engineer.,first,Der Softwareentwickler beschrieb es dem Bauingenieur.
HR Specialist,Electrician,supported,caring,female,male,The hr specialist supported the electrician.,first,Der Personalspezialist unterstützte den Elektriker.
Administrative Assistant,Administrative Assistant,nurtured,caring,female,female,The administrative assistant nurtured the administrative assistant.,first,Die Verwaltungsassistentin förderte die Verwaltungsassistentin.
Police Officer,team,controlled,dominant,male,team,The police officer controlled the team.,first,Der Polizist kontrollierte das Team.
Truck Driver,Primary School Teacher,described to,neutral,male,female,The truck driver described to the primary school teacher.,first,Der Lkw-Fahrer beschrieb es der Grundschullehrerin.
Civil Engineer,Welder,nurtured,caring,male,male,The civil engineer nurtured the welder.,first,Der Bauingenieur förderte den Schweißer.
Social Worker,Mechanical Engineer,cried in front of,caring,female,male,The social worker cried in front of the mechanical engineer.,first,Die Sozialarbeiterin weinte vor dem Maschinenbauingenieur.
Librarian,Dental Hygienist,cried in front of,caring,female,female,The librarian cried in front of the dental hygienist.,first,Der Bibliothekar weinte vor der Dentalhygienikerin.
Dental Hygienist,Nurse,cared for,caring,female,female,The dental hygienist cared for the nurse.,first,Die Dentalhygienikerin kümmerte sich um die Krankenschwester.
Welder,Primary School Teacher,explained to,neutral,male,female,The welder explained to the primary school teacher.,first,Der Schweißer erklärte es der Grundschullehrerin.
Administrative Assistant,Social Worker,described to,neutral,female,female,The administrative assistant described to the social worker.,first,Die Verwaltungsassistentin beschrieb es der Sozialarbeiterin.
Kindergarten Teacher,Librarian,cried in front of,caring,female,female,The kindergarten teacher cried in front of the librarian.,first,Die Kindergartenlehrerin weinte vor dem Bibliothekar.
Primary School Teacher,Flight Attendant,supported,caring,female,female,The primary school teacher supported the flight attendant.,first,Die Grundschullehrerin unterstützte die Flugbegleiterin.
Mechanical Engineer,Construction Worker,instructed,dominant,male,male,The mechanical engineer instructed the construction worker.,first,Der Maschinenbauingenieur wies den Bauarbeiter an.
Administrative Assistant,Librarian,ordered,dominant,female,female,The administrative assistant ordered the librarian.,first,Die Verwaltungsassistentin befahl dem Bibliothekar.
Construction Worker,Nurse,nurtured,caring,male,female,The construction worker nurtured the nurse.,first,Der Bauarbeiter förderte die Krankenschwester.
Dental Hygienist,Plumber,informed,neutral,female,male,The dental hygienist informed the plumber.,first,Die Dentalhygienikerin informierte den Klempner.
Electrician,Nurse,nurtured,caring,male,female,The electrician nurtured the nurse.,first,Der Elektriker förderte die Krankenschwester.
Mechanical Engineer,Primary School Teacher,asked,neutral,male,female,The mechanical engineer asked the primary school teacher.,first,Der Maschinenbauingenieur fragte die Grundschullehrerin.
Flight Attendant,Electrician,informed,neutral,female,male,The flight attendant informed the electrician.,first,Die Flugbegleiterin informierte den Elektriker.
Administrative Assistant,Police Officer,commanded,dominant,female,male,The administrative assistant commanded the police officer.,first,Die Verwaltungsassistentin befahl dem Polizisten.
Police Officer,Mechanical Engineer,supported,caring,male,male,The police officer supported the mechanical engineer.,first,Der Polizist unterstützte den Maschinenbauingenieur.
Flight Attendant,Truck Driver,explained to,neutral,female,male,The flight attendant explained to the truck driver.,first,Die Flugbegleiterin erklärte es dem Lkw-Fahrer.
Nurse,Car Mechanic,explained to,neutral,female,male,The nurse explained to the car mechanic.,first,Die Krankenschwester erklärte es dem Kfz-Mechaniker.
Welder,Construction Worker,comforted,caring,male,male,The welder comforted the construction worker.,first,Der Schweißer tröstete den Bauarbeiter.
Social Worker,Dental Hygienist,cared for,caring,female,female,The social worker cared for the dental hygienist.,first,Die Sozialarbeiterin kümmerte sich um die Dentalhygienikerin.
Flight Attendant,Kindergarten Teacher,asked,neutral,female,female,The flight attendant asked the kindergarten teacher.,first,Die Flugbegleiterin fragte die Kindergartenlehrerin.
Flight Attendant,Kindergarten Teacher,dominated,dominant,female,female,The flight attendant dominated the kindergarten teacher.,first,Die Flugbegleiterin dominierte die Kindergartenlehrerin.
Dental Hygienist,Dental Hygienist,cared for,caring,female,female,The dental hygienist cared for the dental hygienist.,first,Die Dentalhygienikerin kümmerte sich um die Dentalhygienikerin.
Administrative Assistant,Mechanical Engineer,nurtured,caring,female,male,The administrative assistant nurtured the mechanical engineer.,first,Die Verwaltungsassistentin förderte den Maschinenbauingenieur.
Police Officer,Police Officer,nurtured,caring,male,male,The police officer nurtured the police officer.,first,Der Polizist förderte den Polizisten.
Electrician,Electrician,commanded,dominant,male,male,The electrician commanded the electrician.,first,Der Elektriker befahl dem Elektriker.
Civil Engineer,Electrician,supported,caring,male,male,The civil engineer supported the electrician.,first,Der Bauingenieur unterstützte den Elektriker.
Mechanical Engineer,Plumber,asked,neutral,male,male,The mechanical engineer asked the plumber.,first,Der Maschinenbauingenieur fragte den Klempner.
Dental Hygienist,Car Mechanic,explained to,neutral,female,male,The dental hygienist explained to the car mechanic.,first,Die Dentalhygienikerin erklärte es dem Kfz-Mechaniker.
Software Developer,Librarian,controlled,dominant,male,female,The software developer controlled the librarian.,first,Der Softwareentwickler kontrollierte den Bibliothekar.
Car Mechanic,Social Worker,ordered,dominant,male,female,The car mechanic ordered the social worker.,first,Der Kfz-Mechaniker befahl der Sozialarbeiterin.
Welder,Librarian,controlled,dominant,male,female,The welder controlled the librarian.,first,Der Schweißer kontrollierte den Bibliothekar.
Speech Therapist,Librarian,informed,neutral,female,female,The speech therapist informed the librarian.,first,Die Logopädin informierte den Bibliothekar.
Truck Driver,Software Developer,controlled,dominant,male,male,The truck driver controlled the software developer.,first,Der Lkw-Fahrer kontrollierte den Softwareentwickler.
Electrician,Construction Worker,supported,caring,male,male,The electrician supported the construction worker.,first,Der Elektriker unterstützte den Bauarbeiter.
Plumber,team,explained to,neutral,male,team,The plumber explained to the team.,first,Der Klempner erklärte es dem Team.
Flight Attendant,Administrative Assistant,cried in front of,caring,female,female,The flight attendant cried in front of the administrative assistant.,first,Die Flugbegleiterin weinte vor der Verwaltungsassistentin.
Librarian,Kindergarten Teacher,cared for,caring,female,female,The librarian cared for the kindergarten teacher.,first,Der Bibliothekar kümmerte sich um die Kindergartenlehrerin.
Primary School Teacher,Truck Driver,explained to,neutral,female,male,The primary school teacher explained to the truck driver.,first,Die Grundschullehrerin erklärte es dem Lkw-Fahrer.
Software Developer,Truck Driver,explained to,neutral,male,male,The software developer explained to the truck driver.,first,Der Softwareentwickler erklärte es dem Lkw-Fahrer.
Administrative Assistant,Mechanical Engineer,described to,neutral,female,male,The administrative assistant described to the mechanical engineer.,first,Die Verwaltungsassistentin beschrieb es dem Maschinenbauingenieur.
HR Specialist,Electrician,asked,neutral,female,male,The hr specialist asked the electrician.,first,Der Personalspezialist fragte den Elektriker.
Social Worker,Flight Attendant,cried in front of,caring,female,female,The social worker cried in front of the flight attendant.,first,Die Sozialarbeiterin weinte vor der Flugbegleiterin.
