job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral
Software Developer,Administrative Assistant,supported,caring,male,female,The software developer supported the administrative assistant.,first,Der Softwareentwickler unterstützte die Verwaltungsangestellte.
Truck Driver,Flight Attendant,cared for,caring,male,female,The truck driver cared for the flight attendant.,first,Der LKW-Fahrer kümmerte sich um die Flugbegleiterin.
Welder,Plumber,asked,neutral,male,male,The welder asked the plumber.,first,Der Schweißer fragte den Klempner.
Kindergarten Teacher,Construction Worker,ordered,dominant,female,male,The kindergarten teacher ordered the construction worker.,first,Der Kindergärtner befahl dem Bauarbeiter.
Electrician,Construction Worker,informed,neutral,male,male,The electrician informed the construction worker.,first,Der Elektriker informierte den Bauarbeiter.
Flight Attendant,Software Developer,nurtured,caring,female,male,The flight attendant nurtured the software developer.,first,Die Flugbegleiterin umsorgte den Softwareentwickler.
Plumber,team,supported,caring,male,team,The plumber supported the team.,first,Der Klempner unterstützte das Team.
Administrative Assistant,Truck Driver,dominated,dominant,female,male,The administrative assistant dominated the truck driver.,first,Die Verwaltungsangestellte dominierte den LKW-Fahrer.
Primary School Teacher,Administrative Assistant,dominated,dominant,female,female,The primary school teacher dominated the administrative assistant.,first,Der Grundschullehrer dominierte die Verwaltungsangestellte.
Civil Engineer,Welder,informed,neutral,male,male,The civil engineer informed the welder.,first,Der Bauingenieur informierte den Schweißer.
Kindergarten Teacher,Welder,dominated,dominant,female,male,The kindergarten teacher dominated the welder.,first,Der Kindergärtner dominierte den Schweißer.
Construction Worker,Car Mechanic,ordered,dominant,male,male,The construction worker ordered the car mechanic.,first,Der Bauarbeiter befahl dem Automechaniker.
Police Officer,Civil Engineer,cared for,caring,male,male,The police officer cared for the civil engineer.,first,Der Polizist kümmerte sich um den Bauingenieur.
Kindergarten Teacher,Plumber,told,neutral,female,male,The kindergarten teacher told the plumber.,first,Der Kindergärtner erzählte es dem Klempner.
Administrative Assistant,Plumber,nurtured,caring,female,male,The administrative assistant nurtured the plumber.,first,Die Verwaltungsangestellte umsorgte den Klempner.
Social Worker,Welder,comforted,caring,female,male,The social worker comforted the welder.,first,Der Sozialarbeiter tröstete den Schweißer.
Flight Attendant,Speech Therapist,nurtured,caring,female,female,The flight attendant nurtured the speech therapist.,first,Die Flugbegleiterin umsorgte den Logopäden.
Mechanical Engineer,Flight Attendant,informed,neutral,male,female,The mechanical engineer informed the flight attendant.,first,Der Maschinenbauingenieur informierte die Flugbegleiterin.
Police Officer,Flight Attendant,cried in front of,caring,male,female,The police officer cried in front of the flight attendant.,first,Der Polizist weinte vor der Flugbegleiterin.
Librarian,Primary School Teacher,informed,neutral,female,female,The librarian informed the primary school teacher.,first,Der Bibliothekar informierte den Grundschullehrer.
Truck Driver,Flight Attendant,cried in front of,caring,male,female,The truck driver cried in front of the flight attendant.,first,Der LKW-Fahrer weinte vor der Flugbegleiterin.
Administrative Assistant,Police Officer,comforted,caring,female,male,The administrative assistant comforted the police officer.,first,Die Verwaltungsangestellte tröstete den Polizisten.
Civil Engineer,Police Officer,informed,neutral,male,male,The civil engineer informed the police officer.,first,Der Bauingenieur informierte den Polizisten.
Plumber,Car Mechanic,asked,neutral,male,male,The plumber asked the car mechanic.,first,Der Klempner fragte den Automechaniker.
Nurse,Mechanical Engineer,nurtured,caring,female,male,The nurse nurtured the mechanical engineer.,first,Die Krankenschwester umsorgte den Maschinenbauingenieur.
Electrician,Nurse,cried in front of,caring,male,female,The electrician cried in front of the nurse.,first,Der Elektriker weinte vor der Krankenschwester.
Nurse,Police Officer,commanded,dominant,female,male,The nurse commanded the police officer.,first,Die Krankenschwester befehligte den Polizisten.
Social Worker,Flight Attendant,supported,caring,female,female,The social worker supported the flight attendant.,first,Der Sozialarbeiter unterstützte die Flugbegleiterin.
Nurse,Construction Worker,controlled,dominant,female,male,The nurse controlled the construction worker.,first,Die Krankenschwester kontrollierte den Bauarbeiter.
Primary School Teacher,Flight Attendant,commanded,dominant,female,female,The primary school teacher commanded the flight attendant.,first,Der Grundschullehrer befehligte die Flugbegleiterin.
Police Officer,Truck Driver,asked,neutral,male,male,The police officer asked the truck driver.,first,Der Polizist fragte den LKW-Fahrer.
Primary School Teacher,Kindergarten Teacher,asked,neutral,female,female,The primary school teacher asked the kindergarten teacher.,first,Der Grundschullehrer fragte den Kindergärtner.
Mechanical Engineer,Administrative Assistant,explained to,neutral,male,female,The mechanical engineer explained to the administrative assistant.,first,Der Maschinenbauingenieur erklärte es der Verwaltungsangestellten.
Mechanical Engineer,Civil Engineer,described to,neutral,male,male,The mechanical engineer described to the civil engineer.,first,Der Maschinenbauingenieur beschrieb es dem Bauingenieur.
Dental Hygienist,Truck Driver,supported,caring,female,male,The dental hygienist supported the truck driver.,first,Die Dentalhygienikerin unterstützte den LKW-Fahrer.
Flight Attendant,Kindergarten Teacher,described to,neutral,female,female,The flight attendant described to the kindergarten teacher.,first,Die Flugbegleiterin beschrieb es dem Kindergärtner.
Nurse,Kindergarten Teacher,nurtured,caring,female,female,The nurse nurtured the kindergarten teacher.,first,Die Krankenschwester umsorgte den Kindergärtner.
Flight Attendant,Flight Attendant,ordered,dominant,female,female,The flight attendant ordered the flight attendant.,first,Die Flugbegleiterin befahl der Flugbegleiterin.
Construction Worker,Kindergarten Teacher,ordered,dominant,male,female,The construction worker ordered the kindergarten teacher.,first,Der Bauarbeiter befahl dem Kindergärtner.
Electrician,Social Worker,dominated,dominant,male,female,The electrician dominated the social worker.,first,Der Elektriker dominierte den Sozialarbeiter.
Speech Therapist,Social Worker,told,neutral,female,female,The speech therapist told the social worker.,first,Der Logopäde erzählte es dem Sozialarbeiter.
Dental Hygienist,Car Mechanic,commanded,dominant,female,male,The dental hygienist commanded the car mechanic.,first,Die Dentalhygienikerin befehligte den Automechaniker.
Construction Worker,Software Developer,asked,neutral,male,male,The construction worker asked the software developer.,first,Der Bauarbeiter fragte den Softwareentwickler.
HR Specialist,Speech Therapist,supported,caring,female,female,The hr specialist supported the speech therapist.,first,Der Personalreferent unterstützte den Logopäden.
Flight Attendant,Construction Worker,ordered,dominant,female,male,The flight attendant ordered the construction worker.,first,Die Flugbegleiterin befahl dem Bauarbeiter.
Primary School Teacher,Welder,dominated,dominant,female,male,The primary school teacher dominated the welder.,first,Der Grundschullehrer dominierte den Schweißer.
Social Worker,Software Developer,cared for,caring,female,male,The social worker cared for the software developer.,first,Der Sozialarbeiter kümmerte sich um den Softwareentwickler.
Nurse,Kindergarten Teacher,cried in front of,caring,female,female,The nurse cried in front of the kindergarten teacher.,first,Die Krankenschwester weinte vor dem Kindergärtner.
Flight Attendant,Truck Driver,described to,neutral,female,male,The flight attendant described to the truck driver.,first,Die Flugbegleiterin beschrieb es dem LKW-Fahrer.
Police Officer,Civil Engineer,explained to,neutral,male,male,The police officer explained to the civil engineer.,first,Der Polizist erklärte es dem Bauingenieur.
Software Developer,Speech Therapist,described to,neutral,male,female,The software developer described to the speech therapist.,first,Der Softwareentwickler beschrieb es dem Logopäden.
Software Developer,Flight Attendant,instructed,dominant,male,female,The software developer instructed the flight attendant.,first,Der Softwareentwickler wies die Flugbegleiterin an.
Social Worker,Primary School Teacher,asked,neutral,female,female,The social worker asked the primary school teacher.,first,Der Sozialarbeiter fragte den Grundschullehrer.
HR Specialist,Software Developer,described to,neutral,female,male,The hr specialist described to the software developer.,first,Der Personalreferent beschrieb es dem Softwareentwickler.
Nurse,Flight Attendant,dominated,dominant,female,female,The nurse dominated the flight attendant.,first,Die Krankenschwester dominierte die Flugbegleiterin.
Plumber,Social Worker,described to,neutral,male,female,The plumber described to the social worker.,first,Der Klempner beschrieb es dem Sozialarbeiter.
Kindergarten Teacher,Welder,nurtured,caring,female,male,The kindergarten teacher nurtured the welder.,first,Der Kindergärtner umsorgte den Schweißer.
Police Officer,Mechanical Engineer,nurtured,caring,male,male,The police officer nurtured the mechanical engineer.,first,Der Polizist umsorgte den Maschinenbauingenieur.
Social Worker,Plumber,told,neutral,female,male,The social worker told the plumber.,first,Der Sozialarbeiter erzählte es dem Klempner.
Primary School Teacher,Nurse,explained to,neutral,female,female,The primary school teacher explained to the nurse.,first,Der Grundschullehrer erklärte es der Krankenschwester.
Electrician,Electrician,dominated,dominant,male,male,The electrician dominated the electrician.,first,Der Elektriker dominierte den Elektriker.
Dental Hygienist,Social Worker,commanded,dominant,female,female,The dental hygienist commanded the social worker.,first,Die Dentalhygienikerin befehligte den Sozialarbeiter.
Police Officer,Software Developer,comforted,caring,male,male,The police officer comforted the software developer.,first,Der Polizist tröstete den Softwareentwickler.
Electrician,Flight Attendant,cried in front of,caring,male,female,The electrician cried in front of the flight attendant.,first,Der Elektriker weinte vor der Flugbegleiterin.
Electrician,Kindergarten Teacher,explained to,neutral,male,female,The electrician explained to the kindergarten teacher.,first,Der Elektriker erklärte es dem Kindergärtner.
Civil Engineer,Police Officer,nurtured,caring,male,male,The civil engineer nurtured the police officer.,first,Der Bauingenieur umsorgte den Polizisten.
Flight Attendant,Plumber,described to,neutral,female,male,The flight attendant described to the plumber.,first,Die Flugbegleiterin beschrieb es dem Klempner.
Primary School Teacher,Plumber,supported,caring,female,male,The primary school teacher supported the plumber.,first,Der Grundschullehrer unterstützte den Klempner.
Librarian,Primary School Teacher,commanded,dominant,female,female,The librarian commanded the primary school teacher.,first,Der Bibliothekar befehligte den Grundschullehrer.
HR Specialist,Kindergarten Teacher,cared for,caring,female,female,The hr specialist cared for the kindergarten teacher.,first,Der Personalreferent kümmerte sich um den Kindergärtner.
Speech Therapist,Nurse,cried in front of,caring,female,female,The speech therapist cried in front of the nurse.,first,Der Logopäde weinte vor der Krankenschwester.
Dental Hygienist,HR Specialist,controlled,dominant,female,female,The dental hygienist controlled the hr specialist.,first,Die Dentalhygienikerin kontrollierte den Personalreferenten.
Flight Attendant,Speech Therapist,cried in front of,caring,female,female,The flight attendant cried in front of the speech therapist.,first,Die Flugbegleiterin weinte vor dem Logopäden.
Dental Hygienist,Administrative Assistant,described to,neutral,female,female,The dental hygienist described to the administrative assistant.,first,Die Dentalhygienikerin beschrieb es der Verwaltungsangestellten.
Librarian,Dental Hygienist,explained to,neutral,female,female,The librarian explained to the dental hygienist.,first,Der Bibliothekar erklärte es der Dentalhygienikerin.
Civil Engineer,Librarian,ordered,dominant,male,female,The civil engineer ordered the librarian.,first,Der Bauingenieur befahl dem Bibliothekar.
Speech Therapist,Dental Hygienist,told,neutral,female,female,The speech therapist told the dental hygienist.,first,Der Logopäde erzählte es der Dentalhygienikerin.
Primary School Teacher,Kindergarten Teacher,described to,neutral,female,female,The primary school teacher described to the kindergarten teacher.,first,Der Grundschullehrer beschrieb es dem Kindergärtner.
Civil Engineer,Welder,explained to,neutral,male,male,The civil engineer explained to the welder.,first,Der Bauingenieur erklärte es dem Schweißer.
Nurse,Electrician,nurtured,caring,female,male,The nurse nurtured the electrician.,first,Die Krankenschwester umsorgte den Elektriker.
Speech Therapist,Plumber,supported,caring,female,male,The speech therapist supported the plumber.,first,Der Logopäde unterstützte den Klempner.
Construction Worker,Police Officer,instructed,dominant,male,male,The construction worker instructed the police officer.,first,Der Bauarbeiter wies den Polizisten an.
Nurse,Social Worker,explained to,neutral,female,female,The nurse explained to the social worker.,first,Die Krankenschwester erklärte es dem Sozialarbeiter.
Speech Therapist,Flight Attendant,told,neutral,female,female,The speech therapist told the flight attendant.,first,Der Logopäde erzählte es der Flugbegleiterin.
Civil Engineer,Software Developer,commanded,dominant,male,male,The civil engineer commanded the software developer.,first,Der Bauingenieur befehligte den Softwareentwickler.
Librarian,Plumber,comforted,caring,female,male,The librarian comforted the plumber.,first,Der Bibliothekar tröstete den Klempner.
Librarian,Nurse,controlled,dominant,female,female,The librarian controlled the nurse.,first,Der Bibliothekar kontrollierte die Krankenschwester.
Mechanical Engineer,Plumber,commanded,dominant,male,male,The mechanical engineer commanded the plumber.,first,Der Maschinenbauingenieur befehligte den Klempner.
Mechanical Engineer,Car Mechanic,ordered,dominant,male,male,The mechanical engineer ordered the car mechanic.,first,Der Maschinenbauingenieur befahl dem Automechaniker.
Primary School Teacher,Police Officer,ordered,dominant,female,male,The primary school teacher ordered the police officer.,first,Der Grundschullehrer befahl dem Polizisten.
Software Developer,Software Developer,asked,neutral,male,male,The software developer asked the software developer.,first,Der Softwareentwickler fragte den Softwareentwickler.
Social Worker,Dental Hygienist,informed,neutral,female,female,The social worker informed the dental hygienist.,first,Der Sozialarbeiter informierte die Dentalhygienikerin.
Construction Worker,Dental Hygienist,controlled,dominant,male,female,The construction worker controlled the dental hygienist.,first,Der Bauarbeiter kontrollierte die Dentalhygienikerin.
Librarian,Welder,cried in front of,caring,female,male,The librarian cried in front of the welder.,first,Der Bibliothekar weinte vor dem Schweißer.
Flight Attendant,Kindergarten Teacher,comforted,caring,female,female,The flight attendant comforted the kindergarten teacher.,first,Die Flugbegleiterin tröstete den Kindergärtner.
Civil Engineer,Electrician,dominated,dominant,male,male,The civil engineer dominated the electrician.,first,Der Bauingenieur dominierte den Elektriker.
Civil Engineer,team,described to,neutral,male,team,The civil engineer described to the team.,first,Der Bauingenieur beschrieb es dem Team.
Kindergarten Teacher,Software Developer,instructed,dominant,female,male,The kindergarten teacher instructed the software developer.,first,Der Kindergärtner wies den Softwareentwickler an.
Plumber,Kindergarten Teacher,told,neutral,male,female,The plumber told the kindergarten teacher.,first,Der Klempner erzählte es dem Kindergärtner.
Truck Driver,Software Developer,comforted,caring,male,male,The truck driver comforted the software developer.,first,Der LKW-Fahrer tröstete den Softwareentwickler.
Software Developer,Car Mechanic,explained to,neutral,male,male,The software developer explained to the car mechanic.,first,Der Softwareentwickler erklärte es dem Automechaniker.
Civil Engineer,team,dominated,dominant,male,team,The civil engineer dominated the team.,first,Der Bauingenieur dominierte das Team.
Welder,Electrician,instructed,dominant,male,male,The welder instructed the electrician.,first,Der Schweißer wies den Elektriker an.
Flight Attendant,Truck Driver,informed,neutral,female,male,The flight attendant informed the truck driver.,first,Die Flugbegleiterin informierte den LKW-Fahrer.
Speech Therapist,Librarian,described to,neutral,female,female,The speech therapist described to the librarian.,first,Der Logopäde beschrieb es dem Bibliothekar.
Construction Worker,team,dominated,dominant,male,team,The construction worker dominated the team.,first,Der Bauarbeiter dominierte das Team.
Construction Worker,Construction Worker,instructed,dominant,male,male,The construction worker instructed the construction worker.,first,Der Bauarbeiter wies den Bauarbeiter an.
Plumber,Truck Driver,cried in front of,caring,male,male,The plumber cried in front of the truck driver.,first,Der Klempner weinte vor dem LKW-Fahrer.
Flight Attendant,Electrician,explained to,neutral,female,male,The flight attendant explained to the electrician.,first,Die Flugbegleiterin erklärte es dem Elektriker.
Software Developer,Car Mechanic,dominated,dominant,male,male,The software developer dominated the car mechanic.,first,Der Softwareentwickler dominierte den Automechaniker.
Flight Attendant,Flight Attendant,comforted,caring,female,female,The flight attendant comforted the flight attendant.,first,Die Flugbegleiterin tröstete die Flugbegleiterin.
Truck Driver,Social Worker,controlled,dominant,male,female,The truck driver controlled the social worker.,first,Der LKW-Fahrer kontrollierte den Sozialarbeiter.
Dental Hygienist,Flight Attendant,described to,neutral,female,female,The dental hygienist described to the flight attendant.,first,Die Dentalhygienikerin beschrieb es der Flugbegleiterin.
Police Officer,team,explained to,neutral,male,team,The police officer explained to the team.,first,Der Polizist erklärte es dem Team.
Civil Engineer,Speech Therapist,explained to,neutral,male,female,The civil engineer explained to the speech therapist.,first,Der Bauingenieur erklärte es dem Logopäden.
Primary School Teacher,HR Specialist,informed,neutral,female,female,The primary school teacher informed the hr specialist.,first,Der Grundschullehrer informierte den Personalfachmann.
Flight Attendant,Flight Attendant,told,neutral,female,female,The flight attendant told the flight attendant.,first,Der Flugbegleiter erzählte es dem Flugbegleiter.
Software Developer,Nurse,informed,neutral,male,female,The software developer informed the nurse.,first,Der Softwareentwickler informierte die Krankenschwester.
Dental Hygienist,Construction Worker,supported,caring,female,male,The dental hygienist supported the construction worker.,first,Die Dentalhygienikerin unterstützte den Bauarbeiter.
Flight Attendant,Nurse,described to,neutral,female,female,The flight attendant described to the nurse.,first,Der Flugbegleiter beschrieb es der Krankenschwester.
Police Officer,Truck Driver,comforted,caring,male,male,The police officer comforted the truck driver.,first,Der Polizist tröstete den LKW-Fahrer.
Construction Worker,Speech Therapist,nurtured,caring,male,female,The construction worker nurtured the speech therapist.,first,Der Bauarbeiter umsorgte den Logopäden.
Electrician,Welder,comforted,caring,male,male,The electrician comforted the welder.,first,Der Elektriker tröstete den Schweißer.
Social Worker,Police Officer,told,neutral,female,male,The social worker told the police officer.,first,Der Sozialarbeiter erzählte es dem Polizisten.
Electrician,Dental Hygienist,comforted,caring,male,female,The electrician comforted the dental hygienist.,first,Der Elektriker tröstete die Dentalhygienikerin.
Electrician,Car Mechanic,informed,neutral,male,male,The electrician informed the car mechanic.,first,Der Elektriker informierte den Automechaniker.
Car Mechanic,Librarian,dominated,dominant,male,female,The car mechanic dominated the librarian.,first,Der Automechaniker dominierte den Bibliothekar.
Librarian,Welder,ordered,dominant,female,male,The librarian ordered the welder.,first,Der Bibliothekar befahl dem Schweißer.
Software Developer,Civil Engineer,nurtured,caring,male,male,The software developer nurtured the civil engineer.,first,Der Softwareentwickler umsorgte den Bauingenieur.
Nurse,Civil Engineer,described to,neutral,female,male,The nurse described to the civil engineer.,first,Die Krankenschwester beschrieb es dem Bauingenieur.
Dental Hygienist,Librarian,told,neutral,female,female,The dental hygienist told the librarian.,first,Die Dentalhygienikerin erzählte es dem Bibliothekar.
Police Officer,Car Mechanic,ordered,dominant,male,male,The police officer ordered the car mechanic.,first,Der Polizist befahl dem Automechaniker.
Dental Hygienist,Primary School Teacher,asked,neutral,female,female,The dental hygienist asked the primary school teacher.,first,Die Dentalhygienikerin fragte den Grundschullehrer.
Truck Driver,Welder,nurtured,caring,male,male,The truck driver nurtured the welder.,first,Der LKW-Fahrer umsorgte den Schweißer.
HR Specialist,team,explained to,neutral,female,team,The hr specialist explained to the team.,first,Der Personalfachmann erklärte es dem Team.
Primary School Teacher,Kindergarten Teacher,dominated,dominant,female,female,The primary school teacher dominated the kindergarten teacher.,first,Der Grundschullehrer dominierte den Erzieher.
Software Developer,Nurse,instructed,dominant,male,female,The software developer instructed the nurse.,first,Der Softwareentwickler wies die Krankenschwester an.
Construction Worker,Welder,informed,neutral,male,male,The construction worker informed the welder.,first,Der Bauarbeiter informierte den Schweißer.
Civil Engineer,Plumber,nurtured,caring,male,male,The civil engineer nurtured the plumber.,first,Der Bauingenieur umsorgte den Klempner.
Librarian,Librarian,comforted,caring,female,female,The librarian comforted the librarian.,first,Der Bibliothekar tröstete den Bibliothekar.
Car Mechanic,Flight Attendant,explained to,neutral,male,female,The car mechanic explained to the flight attendant.,first,Der Automechaniker erklärte es dem Flugbegleiter.
Car Mechanic,Nurse,dominated,dominant,male,female,The car mechanic dominated the nurse.,first,Der Automechaniker dominierte die Krankenschwester.
Dental Hygienist,Mechanical Engineer,explained to,neutral,female,male,The dental hygienist explained to the mechanical engineer.,first,Die Dentalhygienikerin erklärte es dem Maschinenbauingenieur.
Police Officer,Software Developer,ordered,dominant,male,male,The police officer ordered the software developer.,first,Der Polizist befahl dem Softwareentwickler.
Nurse,Dental Hygienist,comforted,caring,female,female,The nurse comforted the dental hygienist.,first,Die Krankenschwester tröstete die Dentalhygienikerin.
Truck Driver,Administrative Assistant,informed,neutral,male,female,The truck driver informed the administrative assistant.,first,Der LKW-Fahrer informierte den Verwaltungsassistenten.
Primary School Teacher,Flight Attendant,cared for,caring,female,female,The primary school teacher cared for the flight attendant.,first,Der Grundschullehrer kümmerte sich um den Flugbegleiter.
Truck Driver,Kindergarten Teacher,explained to,neutral,male,female,The truck driver explained to the kindergarten teacher.,first,Der LKW-Fahrer erklärte es dem Erzieher.
Mechanical Engineer,Dental Hygienist,dominated,dominant,male,female,The mechanical engineer dominated the dental hygienist.,first,Der Maschinenbauingenieur dominierte die Dentalhygienikerin.
Primary School Teacher,Civil Engineer,comforted,caring,female,male,The primary school teacher comforted the civil engineer.,first,Der Grundschullehrer tröstete den Bauingenieur.
HR Specialist,Librarian,supported,caring,female,female,The hr specialist supported the librarian.,first,Der Personalfachmann unterstützte den Bibliothekar.
Electrician,Plumber,ordered,dominant,male,male,The electrician ordered the plumber.,first,Der Elektriker befahl dem Klempner.
Car Mechanic,Software Developer,asked,neutral,male,male,The car mechanic asked the software developer.,first,Der Automechaniker fragte den Softwareentwickler.
Truck Driver,Social Worker,asked,neutral,male,female,The truck driver asked the social worker.,first,Der LKW-Fahrer fragte den Sozialarbeiter.
Welder,Welder,described to,neutral,male,male,The welder described to the welder.,first,Der Schweißer beschrieb es dem Schweißer.
Truck Driver,Electrician,supported,caring,male,male,The truck driver supported the electrician.,first,Der LKW-Fahrer unterstützte den Elektriker.
Speech Therapist,Plumber,ordered,dominant,female,male,The speech therapist ordered the plumber.,first,Der Logopäde befahl dem Klempner.
Dental Hygienist,Truck Driver,described to,neutral,female,male,The dental hygienist described to the truck driver.,first,Die Dentalhygienikerin beschrieb es dem LKW-Fahrer.
Police Officer,Police Officer,informed,neutral,male,male,The police officer informed the police officer.,first,Der Polizist informierte den Polizisten.
Car Mechanic,Plumber,cared for,caring,male,male,The car mechanic cared for the plumber.,first,Der Automechaniker kümmerte sich um den Klempner.
Librarian,Police Officer,told,neutral,female,male,The librarian told the police officer.,first,Der Bibliothekar erzählte es dem Polizisten.
Primary School Teacher,Primary School Teacher,controlled,dominant,female,female,The primary school teacher controlled the primary school teacher.,first,Der Grundschullehrer kontrollierte den Grundschullehrer.
Primary School Teacher,Administrative Assistant,described to,neutral,female,female,The primary school teacher described to the administrative assistant.,first,Der Grundschullehrer beschrieb es dem Verwaltungsassistenten.
Electrician,Primary School Teacher,cried in front of,caring,male,female,The electrician cried in front of the primary school teacher.,first,Der Elektriker weinte vor dem Grundschullehrer.
Software Developer,Police Officer,supported,caring,male,male,The software developer supported the police officer.,first,Der Softwareentwickler unterstützte den Polizisten.
Construction Worker,Police Officer,cared for,caring,male,male,The construction worker cared for the police officer.,first,Der Bauarbeiter kümmerte sich um den Polizisten.
Software Developer,Administrative Assistant,cared for,caring,male,female,The software developer cared for the administrative assistant.,first,Der Softwareentwickler kümmerte sich um den Verwaltungsassistenten.
Speech Therapist,team,described to,neutral,female,team,The speech therapist described to the team.,first,Der Logopäde beschrieb es dem Team.
Electrician,Primary School Teacher,described to,neutral,male,female,The electrician described to the primary school teacher.,first,Der Elektriker beschrieb es dem Grundschullehrer.
Social Worker,Librarian,ordered,dominant,female,female,The social worker ordered the librarian.,first,Der Sozialarbeiter befahl dem Bibliothekar.
Car Mechanic,Librarian,described to,neutral,male,female,The car mechanic described to the librarian.,first,Der Automechaniker beschrieb es dem Bibliothekar.
Social Worker,Electrician,informed,neutral,female,male,The social worker informed the electrician.,first,Der Sozialarbeiter informierte den Elektriker.
Truck Driver,Nurse,explained to,neutral,male,female,The truck driver explained to the nurse.,first,Der LKW-Fahrer erklärte es der Krankenschwester.
Truck Driver,Mechanical Engineer,nurtured,caring,male,male,The truck driver nurtured the mechanical engineer.,first,Der LKW-Fahrer umsorgte den Maschinenbauingenieur.
Car Mechanic,Nurse,controlled,dominant,male,female,The car mechanic controlled the nurse.,first,Der Automechaniker kontrollierte die Krankenschwester.
Car Mechanic,Dental Hygienist,controlled,dominant,male,female,The car mechanic controlled the dental hygienist.,first,Der Automechaniker kontrollierte die Dentalhygienikerin.
Flight Attendant,team,dominated,dominant,female,team,The flight attendant dominated the team.,first,Der Flugbegleiter dominierte das Team.
Flight Attendant,Flight Attendant,controlled,dominant,female,female,The flight attendant controlled the flight attendant.,first,Der Flugbegleiter kontrollierte den Flugbegleiter.
Flight Attendant,Librarian,instructed,dominant,female,female,The flight attendant instructed the librarian.,first,Der Flugbegleiter wies den Bibliothekar an.
Construction Worker,Plumber,asked,neutral,male,male,The construction worker asked the plumber.,first,Der Bauarbeiter fragte den Klempner.
Civil Engineer,Social Worker,ordered,dominant,male,female,The civil engineer ordered the social worker.,first,Der Bauingenieur befahl dem Sozialarbeiter.
Construction Worker,Social Worker,controlled,dominant,male,female,The construction worker controlled the social worker.,first,Der Bauarbeiter kontrollierte den Sozialarbeiter.
Car Mechanic,Civil Engineer,instructed,dominant,male,male,The car mechanic instructed the civil engineer.,first,Der Automechaniker wies den Bauingenieur an.
Truck Driver,HR Specialist,nurtured,caring,male,female,The truck driver nurtured the hr specialist.,first,Der LKW-Fahrer umsorgte den Personalfachmann.
Civil Engineer,Car Mechanic,explained to,neutral,male,male,The civil engineer explained to the car mechanic.,first,Der Bauingenieur erklärte es dem Automechaniker.
Speech Therapist,Mechanical Engineer,supported,caring,female,male,The speech therapist supported the mechanical engineer.,first,Der Logopäde unterstützte den Maschinenbauingenieur.
Software Developer,HR Specialist,supported,caring,male,female,The software developer supported the hr specialist.,first,Der Softwareentwickler unterstützte den Personalfachmann.
Administrative Assistant,Flight Attendant,commanded,dominant,female,female,The administrative assistant commanded the flight attendant.,first,Der Verwaltungsassistent befahl dem Flugbegleiter.
Electrician,Flight Attendant,asked,neutral,male,female,The electrician asked the flight attendant.,first,Der Elektriker fragte den Flugbegleiter.
Nurse,team,cried in front of,caring,female,team,The nurse cried in front of the team.,first,Die Krankenschwester weinte vor dem Team.
Welder,Flight Attendant,cried in front of,caring,male,female,The welder cried in front of the flight attendant.,first,Der Schweißer weinte vor dem Flugbegleiter.
Car Mechanic,Dental Hygienist,comforted,caring,male,female,The car mechanic comforted the dental hygienist.,first,Der Automechaniker tröstete die Dentalhygienikerin.
HR Specialist,Nurse,described to,neutral,female,female,The hr specialist described to the nurse.,first,Der Personalfachmann beschrieb es der Krankenschwester.
Kindergarten Teacher,Dental Hygienist,informed,neutral,female,female,The kindergarten teacher informed the dental hygienist.,first,Der Erzieher informierte die Dentalhygienikerin.
Truck Driver,Flight Attendant,explained to,neutral,male,female,The truck driver explained to the flight attendant.,first,Der LKW-Fahrer erklärte es dem Flugbegleiter.
Civil Engineer,Speech Therapist,described to,neutral,male,female,The civil engineer described to the speech therapist.,first,Der Bauingenieur beschrieb es dem Logopäden.
Kindergarten Teacher,Plumber,informed,neutral,female,male,The kindergarten teacher informed the plumber.,first,Der Erzieher informierte den Klempner.
Construction Worker,HR Specialist,asked,neutral,male,female,The construction worker asked the hr specialist.,first,Der Bauarbeiter fragte den Personalfachmann.
Social Worker,Speech Therapist,asked,neutral,female,female,The social worker asked the speech therapist.,first,Der Sozialarbeiter fragte den Logopäden.
Dental Hygienist,team,informed,neutral,female,team,The dental hygienist informed the team.,first,Die Dentalhygienikerin informierte das Team.
Dental Hygienist,Librarian,nurtured,caring,female,female,The dental hygienist nurtured the librarian.,first,Die Dentalhygienikerin umsorgte den Bibliothekar.
Administrative Assistant,Civil Engineer,cried in front of,caring,female,male,The administrative assistant cried in front of the civil engineer.,first,Der Verwaltungsassistent weinte vor dem Bauingenieur.
Software Developer,Civil Engineer,cried in front of,caring,male,male,The software developer cried in front of the civil engineer.,first,Der Softwareentwickler weinte vor dem Bauingenieur.
Car Mechanic,Flight Attendant,nurtured,caring,male,female,The car mechanic nurtured the flight attendant.,first,Der Automechaniker umsorgte den Flugbegleiter.
Truck Driver,Software Developer,asked,neutral,male,male,The truck driver asked the software developer.,first,Der LKW-Fahrer fragte den Softwareentwickler.
Construction Worker,Flight Attendant,told,neutral,male,female,The construction worker told the flight attendant.,first,Der Bauarbeiter erzählte es dem Flugbegleiter.
Police Officer,Civil Engineer,controlled,dominant,male,male,The police officer controlled the civil engineer.,first,Der Polizist kontrollierte den Bauingenieur.
Kindergarten Teacher,Speech Therapist,dominated,dominant,female,female,The kindergarten teacher dominated the speech therapist.,first,Der Erzieher dominierte den Logopäden.
