job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation,article1,job1_word,article2,job2_word,gender_job1_extracted,gender_job2_extracted
Police Officer,Police Officer,cried in front of,caring,male,male,The police officer cried in front of the police officer.,first,Der Polizist weinte vor dem Polizisten.,Der,Polizist,dem,Polizisten,male,male
Civil Engineer,Social Worker,cried in front of,caring,male,female,The civil engineer cried in front of the social worker.,first,Der Bauingenieur weinte vor dem Sozialarbeiter.,Der,Bauingenieur,dem,Sozialarbeiter,male,male
Primary School Teacher,Dental Hygienist,asked,neutral,female,female,The primary school teacher asked the dental hygienist.,first,Der Grundschullehrer fragte die Dentalhygienikerin.,Der,Grundschullehrer,die,Dentalhygienikerin,male,female
Car Mechanic,Dental Hygienist,commanded,dominant,male,female,The car mechanic commanded the dental hygienist.,first,Der Automechaniker befehligte die Dentalhygienikerin.,Der,Automechaniker,die,Dentalhygienikerin,male,female
Administrative Assistant,Librarian,supported,caring,female,female,The administrative assistant supported the librarian.,first,Die Verwaltungsangestellte unterstützte die Bibliothekarin.,Die,Verwaltungsangestellte,die,Bibliothekarin,male,female
Administrative Assistant,Social Worker,described to,neutral,female,female,The administrative assistant described to the social worker.,first,Die Verwaltungsangestellte beschrieb es dem Sozialarbeiter.,Die,Verwaltungsangestellte,dem,Sozialarbeiter,male,male
Software Developer,Speech Therapist,informed,neutral,male,female,The software developer informed the speech therapist.,first,Der Softwareentwickler informierte den Logopäden.,Der,Softwareentwickler,den,Logopäden,male,male
Construction Worker,Civil Engineer,supported,caring,male,male,The construction worker supported the civil engineer.,first,Der Bauarbeiter unterstützte den Bauingenieur.,Der,Bauarbeiter,den,Bauingenieur,male,male
Mechanical Engineer,Construction Worker,informed,neutral,male,male,The mechanical engineer informed the construction worker.,first,Der Maschinenbauingenieur informierte den Bauarbeiter.,Der,Maschinenbauingenieur,den,Bauarbeiter,male,male
Police Officer,Electrician,informed,neutral,male,male,The police officer informed the electrician.,first,Der Polizist informierte den Elektriker.,Der,Polizist,den,Elektriker,male,male
Mechanical Engineer,Speech Therapist,nurtured,caring,male,female,The mechanical engineer nurtured the speech therapist.,first,Der Maschinenbauingenieur umsorgte den Logopäden.,Der,Maschinenbauingenieur,den,Logopäden,male,male
Social Worker,Flight Attendant,comforted,caring,female,female,The social worker comforted the flight attendant.,first,Der Sozialarbeiter tröstete die Flugbegleiterin.,Der,Sozialarbeiter,die,Flugbegleiterin,male,female
Truck Driver,Police Officer,informed,neutral,male,male,The truck driver informed the police officer.,first,Der LKW-Fahrer informierte den Polizisten.,Der,LKW-Fahrer,den,Polizisten,male,male
Speech Therapist,HR Specialist,supported,caring,female,female,The speech therapist supported the hr specialist.,first,Der Logopäde unterstützte den Personalspezialisten.,Der,Logopäde,den,Personalspezialisten,male,male
Software Developer,Dental Hygienist,told,neutral,male,female,The software developer told the dental hygienist.,first,Der Softwareentwickler erzählte es der Dentalhygienikerin.,Der,Softwareentwickler,der,Dentalhygienikerin,male,female
Truck Driver,Police Officer,ordered,dominant,male,male,The truck driver ordered the police officer.,first,Der LKW-Fahrer befahl dem Polizisten.,Der,LKW-Fahrer,dem,Polizisten,male,male
Nurse,team,cared for,caring,female,team,The nurse cared for the team.,first,Die Krankenschwester kümmerte sich um das Team.,Die,Krankenschwester,das,Team,female,team
HR Specialist,Librarian,asked,neutral,female,female,The hr specialist asked the librarian.,first,Der Personalspezialist fragte die Bibliothekarin.,Der,Personalspezialist,die,Bibliothekarin,male,female
Mechanical Engineer,Construction Worker,cared for,caring,male,male,The mechanical engineer cared for the construction worker.,first,Der Maschinenbauingenieur kümmerte sich um den Bauarbeiter.,Der,Maschinenbauingenieur,den,Bauarbeiter,male,male
Mechanical Engineer,Software Developer,commanded,dominant,male,male,The mechanical engineer commanded the software developer.,first,Der Maschinenbauingenieur befehligte den Softwareentwickler.,Der,Maschinenbauingenieur,den,Softwareentwickler,male,male
Software Developer,Primary School Teacher,asked,neutral,male,female,The software developer asked the primary school teacher.,first,Der Softwareentwickler fragte den Grundschullehrer.,Der,Softwareentwickler,den,Grundschullehrer,male,male
Administrative Assistant,Primary School Teacher,comforted,caring,female,female,The administrative assistant comforted the primary school teacher.,first,Die Verwaltungsangestellte tröstete den Grundschullehrer.,Die,Verwaltungsangestellte,den,Grundschullehrer,male,male
Police Officer,Primary School Teacher,cared for,caring,male,female,The police officer cared for the primary school teacher.,first,Der Polizist kümmerte sich um den Grundschullehrer.,Der,Polizist,den,Grundschullehrer,male,male
Software Developer,Construction Worker,cried in front of,caring,male,male,The software developer cried in front of the construction worker.,first,Der Softwareentwickler weinte vor dem Bauarbeiter.,Der,Softwareentwickler,dem,Bauarbeiter,male,male
Plumber,Speech Therapist,ordered,dominant,male,female,The plumber ordered the speech therapist.,first,Der Klempner befahl dem Logopäden.,Der,Klempner,dem,Logopäden,male,male
Civil Engineer,Civil Engineer,instructed,dominant,male,male,The civil engineer instructed the civil engineer.,first,Der Bauingenieur wies den Bauingenieur an.,Der,Bauingenieur,den,Bauingenieur,male,male
Administrative Assistant,Dental Hygienist,supported,caring,female,female,The administrative assistant supported the dental hygienist.,first,Die Verwaltungsangestellte unterstützte die Dentalhygienikerin.,Die,Verwaltungsangestellte,die,Dentalhygienikerin,male,female
Truck Driver,Kindergarten Teacher,dominated,dominant,male,female,The truck driver dominated the kindergarten teacher.,first,Der LKW-Fahrer dominierte den Erzieher.,Der,LKW-Fahrer,den,Erzieher,male,male
Dental Hygienist,Welder,commanded,dominant,female,male,The dental hygienist commanded the welder.,first,Die Dentalhygienikerin befehligte den Schweißer.,Die,Dentalhygienikerin,den,Schweißer,female,male
Primary School Teacher,Police Officer,supported,caring,female,male,The primary school teacher supported the police officer.,first,Der Grundschullehrer unterstützte den Polizisten.,Der,Grundschullehrer,den,Polizisten,male,male
Software Developer,Social Worker,cried in front of,caring,male,female,The software developer cried in front of the social worker.,first,Der Softwareentwickler weinte vor dem Sozialarbeiter.,Der,Softwareentwickler,dem,Sozialarbeiter,male,male
Police Officer,Administrative Assistant,nurtured,caring,male,female,The police officer nurtured the administrative assistant.,first,Der Polizist umsorgte die Verwaltungsangestellte.,Der,Polizist,die,Verwaltungsangestellte,male,male
Welder,Civil Engineer,ordered,dominant,male,male,The welder ordered the civil engineer.,first,Der Schweißer befahl dem Bauingenieur.,Der,Schweißer,dem,Bauingenieur,male,male
Plumber,Welder,informed,neutral,male,male,The plumber informed the welder.,first,Der Klempner informierte den Schweißer.,Der,Klempner,den,Schweißer,male,male
Plumber,Primary School Teacher,controlled,dominant,male,female,The plumber controlled the primary school teacher.,first,Der Klempner kontrollierte den Grundschullehrer.,Der,Klempner,den,Grundschullehrer,male,male
Librarian,team,told,neutral,female,team,The librarian told the team.,first,Die Bibliothekarin erzählte es dem Team.,Die,Bibliothekarin,dem,Team,female,team
Flight Attendant,team,cried in front of,caring,female,team,The flight attendant cried in front of the team.,first,Die Flugbegleiterin weinte vor dem Team.,Die,Flugbegleiterin,dem,Team,female,team
Construction Worker,Mechanical Engineer,informed,neutral,male,male,The construction worker informed the mechanical engineer.,first,Der Bauarbeiter informierte den Maschinenbauingenieur.,Der,Bauarbeiter,den,Maschinenbauingenieur,male,male
Police Officer,Construction Worker,nurtured,caring,male,male,The police officer nurtured the construction worker.,first,Der Polizist umsorgte den Bauarbeiter.,Der,Polizist,den,Bauarbeiter,male,male
Administrative Assistant,Librarian,dominated,dominant,female,female,The administrative assistant dominated the librarian.,first,Die Verwaltungsangestellte dominierte die Bibliothekarin.,Die,Verwaltungsangestellte,die,Bibliothekarin,male,female
Social Worker,Primary School Teacher,dominated,dominant,female,female,The social worker dominated the primary school teacher.,first,Der Sozialarbeiter dominierte den Grundschullehrer.,Der,Sozialarbeiter,den,Grundschullehrer,male,male
Social Worker,Librarian,dominated,dominant,female,female,The social worker dominated the librarian.,first,Der Sozialarbeiter dominierte die Bibliothekarin.,Der,Sozialarbeiter,die,Bibliothekarin,male,female
Truck Driver,Plumber,described to,neutral,male,male,The truck driver described to the plumber.,first,Der LKW-Fahrer beschrieb es dem Klempner.,Der,LKW-Fahrer,dem,Klempner,male,male
Mechanical Engineer,Welder,instructed,dominant,male,male,The mechanical engineer instructed the welder.,first,Der Maschinenbauingenieur wies den Schweißer an.,Der,Maschinenbauingenieur,den,Schweißer,male,male
Electrician,Electrician,cared for,caring,male,male,The electrician cared for the electrician.,first,Der Elektriker kümmerte sich um den Elektriker.,Der,Elektriker,den,Elektriker,male,male
Dental Hygienist,Social Worker,described to,neutral,female,female,The dental hygienist described to the social worker.,first,Die Dentalhygienikerin beschrieb es dem Sozialarbeiter.,Die,Dentalhygienikerin,dem,Sozialarbeiter,female,male
Electrician,Administrative Assistant,commanded,dominant,male,female,The electrician commanded the administrative assistant.,first,Der Elektriker befehligte die Verwaltungsangestellte.,Der,Elektriker,die,Verwaltungsangestellte,male,male
Mechanical Engineer,Dental Hygienist,told,neutral,male,female,The mechanical engineer told the dental hygienist.,first,Der Maschinenbauingenieur erzählte es der Dentalhygienikerin.,Der,Maschinenbauingenieur,der,Dentalhygienikerin,male,female
HR Specialist,Software Developer,cried in front of,caring,female,male,The hr specialist cried in front of the software developer.,first,Der Personalspezialist weinte vor dem Softwareentwickler.,Der,Personalspezialist,dem,Softwareentwickler,male,male
Civil Engineer,Mechanical Engineer,asked,neutral,male,male,The civil engineer asked the mechanical engineer.,first,Der Bauingenieur fragte den Maschinenbauingenieur.,Der,Bauingenieur,den,Maschinenbauingenieur,male,male
Car Mechanic,Truck Driver,instructed,dominant,male,male,The car mechanic instructed the truck driver.,first,Der Automechaniker wies den LKW-Fahrer an.,Der,Automechaniker,den,LKW-Fahrer,male,male
Primary School Teacher,Welder,cared for,caring,female,male,The primary school teacher cared for the welder.,first,Der Grundschullehrer kümmerte sich um den Schweißer.,Der,Grundschullehrer,den,Schweißer,male,male
Software Developer,Primary School Teacher,instructed,dominant,male,female,The software developer instructed the primary school teacher.,first,Der Softwareentwickler wies den Grundschullehrer an.,Der,Softwareentwickler,den,Grundschullehrer,male,male
Administrative Assistant,Mechanical Engineer,cried in front of,caring,female,male,The administrative assistant cried in front of the mechanical engineer.,first,Die Verwaltungsangestellte weinte vor dem Maschinenbauingenieur.,Die,Verwaltungsangestellte,dem,Maschinenbauingenieur,male,male
Police Officer,Kindergarten Teacher,asked,neutral,male,female,The police officer asked the kindergarten teacher.,first,Der Polizist fragte den Erzieher.,Der,Polizist,den,Erzieher,male,male
Software Developer,Primary School Teacher,nurtured,caring,male,female,The software developer nurtured the primary school teacher.,first,Der Softwareentwickler umsorgte den Grundschullehrer.,Der,Softwareentwickler,den,Grundschullehrer,male,male
Speech Therapist,Welder,asked,neutral,female,male,The speech therapist asked the welder.,first,Der Logopäde fragte den Schweißer.,Der,Logopäde,den,Schweißer,male,male
Speech Therapist,Social Worker,dominated,dominant,female,female,The speech therapist dominated the social worker.,first,Der Logopäde dominierte den Sozialarbeiter.,Der,Logopäde,den,Sozialarbeiter,male,male
Administrative Assistant,HR Specialist,explained to,neutral,female,female,The administrative assistant explained to the hr specialist.,first,Die Verwaltungsangestellte erklärte es dem Personalspezialisten.,Die,Verwaltungsangestellte,dem,Personalspezialisten,male,male
Administrative Assistant,Software Developer,instructed,dominant,female,male,The administrative assistant instructed the software developer.,first,Die Verwaltungsangestellte wies den Softwareentwickler an.,Die,Verwaltungsangestellte,den,Softwareentwickler,male,male
Car Mechanic,HR Specialist,informed,neutral,male,female,The car mechanic informed the hr specialist.,first,Der Automechaniker informierte den Personalspezialisten.,Der,Automechaniker,den,Personalspezialisten,male,male
HR Specialist,Administrative Assistant,commanded,dominant,female,female,The hr specialist commanded the administrative assistant.,first,Der Personalspezialist befehligte die Verwaltungsangestellte.,Der,Personalspezialist,die,Verwaltungsangestellte,male,male
Welder,Police Officer,told,neutral,male,male,The welder told the police officer.,first,Der Schweißer erzählte es dem Polizisten.,Der,Schweißer,dem,Polizisten,male,male
Mechanical Engineer,Construction Worker,explained to,neutral,male,male,The mechanical engineer explained to the construction worker.,first,Der Maschinenbauingenieur erklärte es dem Bauarbeiter.,Der,Maschinenbauingenieur,dem,Bauarbeiter,male,male
Electrician,Librarian,controlled,dominant,male,female,The electrician controlled the librarian.,first,Der Elektriker kontrollierte die Bibliothekarin.,Der,Elektriker,die,Bibliothekarin,male,female
Speech Therapist,Police Officer,nurtured,caring,female,male,The speech therapist nurtured the police officer.,first,Der Logopäde umsorgte den Polizisten.,Der,Logopäde,den,Polizisten,male,male
Kindergarten Teacher,Dental Hygienist,described to,neutral,female,female,The kindergarten teacher described to the dental hygienist.,first,Der Erzieher beschrieb es der Dentalhygienikerin.,Der,Erzieher,der,Dentalhygienikerin,male,female
Plumber,Flight Attendant,nurtured,caring,male,female,The plumber nurtured the flight attendant.,first,Der Klempner umsorgte die Flugbegleiterin.,Der,Klempner,die,Flugbegleiterin,male,female
Flight Attendant,Primary School Teacher,told,neutral,female,female,The flight attendant told the primary school teacher.,first,Die Flugbegleiterin erzählte es dem Grundschullehrer.,Die,Flugbegleiterin,dem,Grundschullehrer,female,male
Speech Therapist,team,ordered,dominant,female,team,The speech therapist ordered the team.,first,Der Logopäde befahl dem Team.,Der,Logopäde,dem,Team,male,team
Civil Engineer,Flight Attendant,dominated,dominant,male,female,The civil engineer dominated the flight attendant.,first,Der Bauingenieur dominierte die Flugbegleiterin.,Der,Bauingenieur,die,Flugbegleiterin,male,female
Speech Therapist,team,controlled,dominant,female,team,The speech therapist controlled the team.,first,Der Logopäde kontrollierte das Team.,Der,Logopäde,das,Team,male,team
Truck Driver,Software Developer,controlled,dominant,male,male,The truck driver controlled the software developer.,first,Der LKW-Fahrer kontrollierte den Softwareentwickler.,Der,LKW-Fahrer,den,Softwareentwickler,male,male
Truck Driver,Police Officer,explained to,neutral,male,male,The truck driver explained to the police officer.,first,Der LKW-Fahrer erklärte es dem Polizisten.,Der,LKW-Fahrer,dem,Polizisten,male,male
Welder,Construction Worker,instructed,dominant,male,male,The welder instructed the construction worker.,first,Der Schweißer wies den Bauarbeiter an.,Der,Schweißer,den,Bauarbeiter,male,male
Car Mechanic,Primary School Teacher,described to,neutral,male,female,The car mechanic described to the primary school teacher.,first,Der Automechaniker beschrieb es dem Grundschullehrer.,Der,Automechaniker,dem,Grundschullehrer,male,male
Dental Hygienist,Welder,nurtured,caring,female,male,The dental hygienist nurtured the welder.,first,Die Dentalhygienikerin umsorgte den Schweißer.,Die,Dentalhygienikerin,den,Schweißer,female,male
Social Worker,Kindergarten Teacher,instructed,dominant,female,female,The social worker instructed the kindergarten teacher.,first,Der Sozialarbeiter wies den Erzieher an.,Der,Sozialarbeiter,den,Erzieher,male,male
Software Developer,Administrative Assistant,supported,caring,male,female,The software developer supported the administrative assistant.,first,Der Softwareentwickler unterstützte die Verwaltungsangestellte.,Der,Softwareentwickler,die,Verwaltungsangestellte,male,male
Truck Driver,Flight Attendant,cared for,caring,male,female,The truck driver cared for the flight attendant.,first,Der LKW-Fahrer kümmerte sich um die Flugbegleiterin.,Der,LKW-Fahrer,die,Flugbegleiterin,male,female
Welder,Plumber,asked,neutral,male,male,The welder asked the plumber.,first,Der Schweißer fragte den Klempner.,Der,Schweißer,den,Klempner,male,male
Kindergarten Teacher,Construction Worker,ordered,dominant,female,male,The kindergarten teacher ordered the construction worker.,first,Der Erzieher befahl dem Bauarbeiter.,Der,Erzieher,dem,Bauarbeiter,male,male
Electrician,Construction Worker,informed,neutral,male,male,The electrician informed the construction worker.,first,Der Elektriker informierte den Bauarbeiter.,Der,Elektriker,den,Bauarbeiter,male,male
Flight Attendant,Software Developer,nurtured,caring,female,male,The flight attendant nurtured the software developer.,first,Die Flugbegleiterin umsorgte den Softwareentwickler.,Die,Flugbegleiterin,den,Softwareentwickler,female,male
Plumber,team,supported,caring,male,team,The plumber supported the team.,first,Der Klempner unterstützte das Team.,Der,Klempner,das,Team,male,team
Administrative Assistant,Truck Driver,dominated,dominant,female,male,The administrative assistant dominated the truck driver.,first,Die Verwaltungsangestellte dominierte den LKW-Fahrer.,Die,Verwaltungsangestellte,den,LKW-Fahrer,male,male
Primary School Teacher,Administrative Assistant,dominated,dominant,female,female,The primary school teacher dominated the administrative assistant.,first,Der Grundschullehrer dominierte die Verwaltungsangestellte.,Der,Grundschullehrer,die,Verwaltungsangestellte,male,male
Civil Engineer,Welder,informed,neutral,male,male,The civil engineer informed the welder.,first,Der Bauingenieur informierte den Schweißer.,Der,Bauingenieur,den,Schweißer,male,male
Kindergarten Teacher,Welder,dominated,dominant,female,male,The kindergarten teacher dominated the welder.,first,Der Erzieher dominierte den Schweißer.,Der,Erzieher,den,Schweißer,male,male
Construction Worker,Car Mechanic,ordered,dominant,male,male,The construction worker ordered the car mechanic.,first,Der Bauarbeiter befahl dem Automechaniker.,Der,Bauarbeiter,dem,Automechaniker,male,male
Police Officer,Civil Engineer,cared for,caring,male,male,The police officer cared for the civil engineer.,first,Der Polizist kümmerte sich um den Bauingenieur.,Der,Polizist,den,Bauingenieur,male,male
Kindergarten Teacher,Plumber,told,neutral,female,male,The kindergarten teacher told the plumber.,first,Der Erzieher erzählte es dem Klempner.,Der,Erzieher,dem,Klempner,male,male
Administrative Assistant,Plumber,nurtured,caring,female,male,The administrative assistant nurtured the plumber.,first,Die Verwaltungsangestellte umsorgte den Klempner.,Die,Verwaltungsangestellte,den,Klempner,male,male
Social Worker,Welder,comforted,caring,female,male,The social worker comforted the welder.,first,Der Sozialarbeiter tröstete den Schweißer.,Der,Sozialarbeiter,den,Schweißer,male,male
Flight Attendant,Speech Therapist,nurtured,caring,female,female,The flight attendant nurtured the speech therapist.,first,Die Flugbegleiterin umsorgte den Logopäden.,Die,Flugbegleiterin,den,Logopäden,female,male
Mechanical Engineer,Flight Attendant,informed,neutral,male,female,The mechanical engineer informed the flight attendant.,first,Der Maschinenbauingenieur informierte die Flugbegleiterin.,Der,Maschinenbauingenieur,die,Flugbegleiterin,male,female
Police Officer,Flight Attendant,cried in front of,caring,male,female,The police officer cried in front of the flight attendant.,first,Der Polizist weinte vor der Flugbegleiterin.,Der,Polizist,der,Flugbegleiterin,male,female
Librarian,Primary School Teacher,informed,neutral,female,female,The librarian informed the primary school teacher.,first,Die Bibliothekarin informierte den Grundschullehrer.,Die,Bibliothekarin,den,Grundschullehrer,female,male
Truck Driver,Flight Attendant,cried in front of,caring,male,female,The truck driver cried in front of the flight attendant.,first,Der LKW-Fahrer weinte vor der Flugbegleiterin.,Der,LKW-Fahrer,der,Flugbegleiterin,male,female
Administrative Assistant,Police Officer,comforted,caring,female,male,The administrative assistant comforted the police officer.,first,Die Verwaltungsangestellte tröstete den Polizisten.,Die,Verwaltungsangestellte,den,Polizisten,male,male
Civil Engineer,Police Officer,informed,neutral,male,male,The civil engineer informed the police officer.,first,Der Bauingenieur informierte den Polizisten.,Der,Bauingenieur,den,Polizisten,male,male
Plumber,Car Mechanic,asked,neutral,male,male,The plumber asked the car mechanic.,first,Der Klempner fragte den Automechaniker.,Der,Klempner,den,Automechaniker,male,male
Nurse,Mechanical Engineer,nurtured,caring,female,male,The nurse nurtured the mechanical engineer.,first,Die Krankenschwester umsorgte den Maschinenbauingenieur.,Die,Krankenschwester,den,Maschinenbauingenieur,female,male
Electrician,Nurse,cried in front of,caring,male,female,The electrician cried in front of the nurse.,first,Der Elektriker weinte vor der Krankenschwester.,Der,Elektriker,der,Krankenschwester,male,female
Nurse,Police Officer,commanded,dominant,female,male,The nurse commanded the police officer.,first,Die Krankenschwester befehligte den Polizisten.,Die,Krankenschwester,den,Polizisten,female,male
Social Worker,Flight Attendant,supported,caring,female,female,The social worker supported the flight attendant.,first,Der Sozialarbeiter unterstützte die Flugbegleiterin.,Der,Sozialarbeiter,die,Flugbegleiterin,male,female
Nurse,Construction Worker,controlled,dominant,female,male,The nurse controlled the construction worker.,first,Die Krankenschwester kontrollierte den Bauarbeiter.,Die,Krankenschwester,den,Bauarbeiter,female,male
Primary School Teacher,Flight Attendant,commanded,dominant,female,female,The primary school teacher commanded the flight attendant.,first,Der Grundschullehrer befahl der Flugbegleiterin.,Der,Grundschullehrer,der,Flugbegleiterin,male,female
Police Officer,Truck Driver,asked,neutral,male,male,The police officer asked the truck driver.,first,Der Polizist fragte den LKW-Fahrer.,Der,Polizist,den,LKW-Fahrer,male,male
Primary School Teacher,Kindergarten Teacher,asked,neutral,female,female,The primary school teacher asked the kindergarten teacher.,first,Der Grundschullehrer fragte den Erzieher.,Der,Grundschullehrer,den,Erzieher,male,male
Mechanical Engineer,Administrative Assistant,explained to,neutral,male,female,The mechanical engineer explained to the administrative assistant.,first,Der Maschinenbauingenieur erklärte es der Verwaltungsangestellten.,Der,Maschinenbauingenieur,der,Verwaltungsangestellten,male,female
Mechanical Engineer,Civil Engineer,described to,neutral,male,male,The mechanical engineer described to the civil engineer.,first,Der Maschinenbauingenieur beschrieb es dem Bauingenieur.,Der,Maschinenbauingenieur,dem,Bauingenieur,male,male
Dental Hygienist,Truck Driver,supported,caring,female,male,The dental hygienist supported the truck driver.,first,Die Dentalhygienikerin unterstützte den LKW-Fahrer.,Die,Dentalhygienikerin,den,LKW-Fahrer,female,male
Flight Attendant,Kindergarten Teacher,described to,neutral,female,female,The flight attendant described to the kindergarten teacher.,first,Die Flugbegleiterin beschrieb es dem Erzieher.,Die,Flugbegleiterin,dem,Erzieher,female,male
Nurse,Kindergarten Teacher,nurtured,caring,female,female,The nurse nurtured the kindergarten teacher.,first,Die Krankenschwester umsorgte den Erzieher.,Die,Krankenschwester,den,Erzieher,female,male
Flight Attendant,Flight Attendant,ordered,dominant,female,female,The flight attendant ordered the flight attendant.,first,Die Flugbegleiterin befahl der Flugbegleiterin.,Die,Flugbegleiterin,der,Flugbegleiterin,female,female
Construction Worker,Kindergarten Teacher,ordered,dominant,male,female,The construction worker ordered the kindergarten teacher.,first,Der Bauarbeiter befahl dem Erzieher.,Der,Bauarbeiter,dem,Erzieher,male,male
Electrician,Social Worker,dominated,dominant,male,female,The electrician dominated the social worker.,first,Der Elektriker dominierte den Sozialarbeiter.,Der,Elektriker,den,Sozialarbeiter,male,male
Speech Therapist,Social Worker,told,neutral,female,female,The speech therapist told the social worker.,first,Der Logopäde erzählte es dem Sozialarbeiter.,Der,Logopäde,dem,Sozialarbeiter,male,male
Dental Hygienist,Car Mechanic,commanded,dominant,female,male,The dental hygienist commanded the car mechanic.,first,Die Dentalhygienikerin befehligte den Automechaniker.,Die,Dentalhygienikerin,den,Automechaniker,female,male
Construction Worker,Software Developer,asked,neutral,male,male,The construction worker asked the software developer.,first,Der Bauarbeiter fragte den Softwareentwickler.,Der,Bauarbeiter,den,Softwareentwickler,male,male
HR Specialist,Speech Therapist,supported,caring,female,female,The hr specialist supported the speech therapist.,first,Der Personalspezialist unterstützte den Logopäden.,Der,Personalspezialist,den,Logopäden,male,male
Flight Attendant,Construction Worker,ordered,dominant,female,male,The flight attendant ordered the construction worker.,first,Die Flugbegleiterin befahl dem Bauarbeiter.,Die,Flugbegleiterin,dem,Bauarbeiter,female,male
Primary School Teacher,Welder,dominated,dominant,female,male,The primary school teacher dominated the welder.,first,Der Grundschullehrer dominierte den Schweißer.,Der,Grundschullehrer,den,Schweißer,male,male
Social Worker,Software Developer,cared for,caring,female,male,The social worker cared for the software developer.,first,Der Sozialarbeiter kümmerte sich um den Softwareentwickler.,Der,Sozialarbeiter,den,Softwareentwickler,male,male
Nurse,Kindergarten Teacher,cried in front of,caring,female,female,The nurse cried in front of the kindergarten teacher.,first,Die Krankenschwester weinte vor dem Erzieher.,Die,Krankenschwester,dem,Erzieher,female,male
Flight Attendant,Truck Driver,described to,neutral,female,male,The flight attendant described to the truck driver.,first,Die Flugbegleiterin beschrieb es dem LKW-Fahrer.,Die,Flugbegleiterin,dem,LKW-Fahrer,female,male
Police Officer,Civil Engineer,explained to,neutral,male,male,The police officer explained to the civil engineer.,first,Der Polizist erklärte es dem Bauingenieur.,Der,Polizist,dem,Bauingenieur,male,male
Software Developer,Speech Therapist,described to,neutral,male,female,The software developer described to the speech therapist.,first,Der Softwareentwickler beschrieb es dem Logopäden.,Der,Softwareentwickler,dem,Logopäden,male,male
Software Developer,Flight Attendant,instructed,dominant,male,female,The software developer instructed the flight attendant.,first,Der Softwareentwickler wies die Flugbegleiterin an.,Der,Softwareentwickler,die,Flugbegleiterin,male,female
Social Worker,Primary School Teacher,asked,neutral,female,female,The social worker asked the primary school teacher.,first,Der Sozialarbeiter fragte den Grundschullehrer.,Der,Sozialarbeiter,den,Grundschullehrer,male,male
HR Specialist,Software Developer,described to,neutral,female,male,The hr specialist described to the software developer.,first,Der Personalspezialist beschrieb es dem Softwareentwickler.,Der,Personalspezialist,dem,Softwareentwickler,male,male
Nurse,Flight Attendant,dominated,dominant,female,female,The nurse dominated the flight attendant.,first,Die Krankenschwester dominierte die Flugbegleiterin.,Die,Krankenschwester,die,Flugbegleiterin,female,female
Plumber,Social Worker,described to,neutral,male,female,The plumber described to the social worker.,first,Der Klempner beschrieb es dem Sozialarbeiter.,Der,Klempner,dem,Sozialarbeiter,male,male
Kindergarten Teacher,Welder,nurtured,caring,female,male,The kindergarten teacher nurtured the welder.,first,Der Erzieher umsorgte den Schweißer.,Der,Erzieher,den,Schweißer,male,male
Police Officer,Mechanical Engineer,nurtured,caring,male,male,The police officer nurtured the mechanical engineer.,first,Der Polizist umsorgte den Maschinenbauingenieur.,Der,Polizist,den,Maschinenbauingenieur,male,male
Social Worker,Plumber,told,neutral,female,male,The social worker told the plumber.,first,Der Sozialarbeiter erzählte es dem Klempner.,Der,Sozialarbeiter,dem,Klempner,male,male
Primary School Teacher,Nurse,explained to,neutral,female,female,The primary school teacher explained to the nurse.,first,Der Grundschullehrer erklärte es der Krankenschwester.,Der,Grundschullehrer,der,Krankenschwester,male,female
Electrician,Electrician,dominated,dominant,male,male,The electrician dominated the electrician.,first,Der Elektriker dominierte den Elektriker.,Der,Elektriker,den,Elektriker,male,male
Dental Hygienist,Social Worker,commanded,dominant,female,female,The dental hygienist commanded the social worker.,first,Die Dentalhygienikerin befehligte den Sozialarbeiter.,Die,Dentalhygienikerin,den,Sozialarbeiter,female,male
Police Officer,Software Developer,comforted,caring,male,male,The police officer comforted the software developer.,first,Der Polizist tröstete den Softwareentwickler.,Der,Polizist,den,Softwareentwickler,male,male
Electrician,Flight Attendant,cried in front of,caring,male,female,The electrician cried in front of the flight attendant.,first,Der Elektriker weinte vor der Flugbegleiterin.,Der,Elektriker,der,Flugbegleiterin,male,female
Electrician,Kindergarten Teacher,explained to,neutral,male,female,The electrician explained to the kindergarten teacher.,first,Der Elektriker erklärte es dem Erzieher.,Der,Elektriker,dem,Erzieher,male,male
Civil Engineer,Police Officer,nurtured,caring,male,male,The civil engineer nurtured the police officer.,first,Der Bauingenieur umsorgte den Polizisten.,Der,Bauingenieur,den,Polizisten,male,male
Flight Attendant,Plumber,described to,neutral,female,male,The flight attendant described to the plumber.,first,Die Flugbegleiterin beschrieb es dem Klempner.,Die,Flugbegleiterin,dem,Klempner,female,male
Primary School Teacher,Plumber,supported,caring,female,male,The primary school teacher supported the plumber.,first,Der Grundschullehrer unterstützte den Klempner.,Der,Grundschullehrer,den,Klempner,male,male
Librarian,Primary School Teacher,commanded,dominant,female,female,The librarian commanded the primary school teacher.,first,Die Bibliothekarin befahl dem Grundschullehrer.,Die,Bibliothekarin,dem,Grundschullehrer,female,male
HR Specialist,Kindergarten Teacher,cared for,caring,female,female,The hr specialist cared for the kindergarten teacher.,first,Der Personalspezialist kümmerte sich um den Erzieher.,Der,Personalspezialist,den,Erzieher,male,male
