job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral,article1,job1_word,article2,job2_word,gender_job1_extracted,gender_job2_extracted
Kindergarten Teacher,Plumber,controlled,dominant,female,male,The kindergarten teacher controlled the plumber.,first,Die Kindergartenlehrerin kontrollierte den Klempner.,Die,Kindergartenlehrerin,den,Klempner,female,male
Kindergarten Teacher,Software Developer,dominated,dominant,female,male,The kindergarten teacher dominated the software developer.,first,Die Kindergartenlehrerin dominierte den Softwareentwickler.,Die,Kindergartenlehrerin,den,Softwareentwickler,female,male
Kindergarten Teacher,Car Mechanic,cried in front of,caring,female,male,The kindergarten teacher cried in front of the car mechanic.,first,Die Kindergartenlehrerin weinte vor dem Kfz-Mechaniker.,Die,Kindergartenlehrerin,dem,Kfz-Mechaniker,female,male
Administrative Assistant,Social Worker,asked,neutral,female,female,The administrative assistant asked the social worker.,first,Die Verwaltungsangestellte befragte die Sozialarbeiterin.,Die,Verwaltungsangestellte,die,Sozialarbeiterin,female,female
Social Worker,Librarian,instructed,dominant,female,female,The social worker instructed the librarian.,first,Die Sozialarbeiterin wies die Bibliothekarin an.,Die,Sozialarbeiterin,die,Bibliothekarin,female,female
Truck Driver,Car Mechanic,cried in front of,caring,male,male,The truck driver cried in front of the car mechanic.,first,Der Lkw-Fahrer weinte vor dem Kfz-Mechaniker.,Der,Lkw-Fahrer,dem,Kfz-Mechaniker,male,male
Administrative Assistant,Dental Hygienist,comforted,caring,female,female,The administrative assistant comforted the dental hygienist.,first,Die Verwaltungsangestellte tröstete die Dentalhygienikerin.,Die,Verwaltungsangestellte,die,Dentalhygienikerin,female,female
Librarian,Speech Therapist,described to,neutral,female,female,The librarian described to the speech therapist.,first,Die Bibliothekarin beschrieb es der Logopädin.,Die,Bibliothekarin,der,Logopädin,female,female
Social Worker,Speech Therapist,informed,neutral,female,female,The social worker informed the speech therapist.,first,Die Sozialarbeiterin informierte die Logopädin.,Die,Sozialarbeiterin,die,Logopädin,female,female
Nurse,Electrician,comforted,caring,female,male,The nurse comforted the electrician.,first,Die Krankenschwester tröstete den Elektriker.,Die,Krankenschwester,den,Elektriker,female,male
Speech Therapist,Primary School Teacher,cared for,caring,female,female,The speech therapist cared for the primary school teacher.,first,Die Logopädin kümmerte sich um die Grundschullehrerin.,Die,Logopädin,die,Grundschullehrerin,female,female
Car Mechanic,Mechanical Engineer,comforted,caring,male,male,The car mechanic comforted the mechanical engineer.,first,Der Kfz-Mechaniker tröstete den Maschinenbauingenieur.,Der,Kfz-Mechaniker,den,Maschinenbauingenieur,male,male
Software Developer,Car Mechanic,described to,neutral,male,male,The software developer described to the car mechanic.,first,Der Softwareentwickler beschrieb es dem Kfz-Mechaniker.,Der,Softwareentwickler,dem,Kfz-Mechaniker,male,male
Construction Worker,Kindergarten Teacher,controlled,dominant,male,female,The construction worker controlled the kindergarten teacher.,first,Der Bauarbeiter kontrollierte die Kindergartenlehrerin.,Der,Bauarbeiter,die,Kindergartenlehrerin,male,female
Administrative Assistant,Administrative Assistant,supported,caring,female,female,The administrative assistant supported the administrative assistant.,first,Die Verwaltungsangestellte unterstützte die Verwaltungsangestellte.,Die,Verwaltungsangestellte,die,Verwaltungsangestellte,female,female
Administrative Assistant,Dental Hygienist,controlled,dominant,female,female,The administrative assistant controlled the dental hygienist.,first,Die Verwaltungsangestellte kontrollierte die Dentalhygienikerin.,Die,Verwaltungsangestellte,die,Dentalhygienikerin,female,female
Administrative Assistant,Police Officer,instructed,dominant,female,male,The administrative assistant instructed the police officer.,first,Die Verwaltungsangestellte wies den Polizisten an.,Die,Verwaltungsangestellte,den,Polizisten,female,male
Speech Therapist,Nurse,described to,neutral,female,female,The speech therapist described to the nurse.,first,Die Logopädin beschrieb es der Krankenschwester.,Die,Logopädin,der,Krankenschwester,female,female
Software Developer,Plumber,described to,neutral,male,male,The software developer described to the plumber.,first,Der Softwareentwickler beschrieb es dem Klempner.,Der,Softwareentwickler,dem,Klempner,male,male
Construction Worker,Plumber,described to,neutral,male,male,The construction worker described to the plumber.,first,Der Bauarbeiter beschrieb es dem Klempner.,Der,Bauarbeiter,dem,Klempner,male,male
Civil Engineer,Construction Worker,asked,neutral,male,male,The civil engineer asked the construction worker.,first,Der Bauingenieur befragte den Bauarbeiter.,Der,Bauingenieur,den,Bauarbeiter,male,male
Construction Worker,Speech Therapist,dominated,dominant,male,female,The construction worker dominated the speech therapist.,first,Der Bauarbeiter dominierte die Logopädin.,Der,Bauarbeiter,die,Logopädin,male,female
Mechanical Engineer,Dental Hygienist,controlled,dominant,male,female,The mechanical engineer controlled the dental hygienist.,first,Der Maschinenbauingenieur kontrollierte die Dentalhygienikerin.,Der,Maschinenbauingenieur,die,Dentalhygienikerin,male,female
Dental Hygienist,Nurse,explained to,neutral,female,female,The dental hygienist explained to the nurse.,first,Die Dentalhygienikerin erklärte es der Krankenschwester.,Die,Dentalhygienikerin,der,Krankenschwester,female,female
Kindergarten Teacher,Speech Therapist,informed,neutral,female,female,The kindergarten teacher informed the speech therapist.,first,Die Kindergartenlehrerin informierte die Logopädin.,Die,Kindergartenlehrerin,die,Logopädin,female,female
Dental Hygienist,Truck Driver,explained to,neutral,female,male,The dental hygienist explained to the truck driver.,first,Die Dentalhygienikerin erklärte es dem Lkw-Fahrer.,Die,Dentalhygienikerin,dem,Lkw-Fahrer,female,male
Plumber,Car Mechanic,cried in front of,caring,male,male,The plumber cried in front of the car mechanic.,first,Der Klempner weinte vor dem Kfz-Mechaniker.,Der,Klempner,dem,Kfz-Mechaniker,male,male
Truck Driver,Electrician,controlled,dominant,male,male,The truck driver controlled the electrician.,first,Der Lkw-Fahrer kontrollierte den Elektriker.,Der,Lkw-Fahrer,den,Elektriker,male,male
Administrative Assistant,Dental Hygienist,asked,neutral,female,female,The administrative assistant asked the dental hygienist.,first,Die Verwaltungsangestellte befragte die Dentalhygienikerin.,Die,Verwaltungsangestellte,die,Dentalhygienikerin,female,female
Administrative Assistant,Police Officer,comforted,caring,female,male,The administrative assistant comforted the police officer.,first,Die Verwaltungsangestellte tröstete den Polizisten.,Die,Verwaltungsangestellte,den,Polizisten,female,male
Dental Hygienist,Software Developer,described to,neutral,female,male,The dental hygienist described to the software developer.,first,Die Dentalhygienikerin beschrieb es dem Softwareentwickler.,Die,Dentalhygienikerin,dem,Softwareentwickler,female,male
Police Officer,Plumber,commanded,dominant,male,male,The police officer commanded the plumber.,first,Der Polizist befahl dem Klempner.,Der,Polizist,dem,Klempner,male,male
Librarian,Civil Engineer,instructed,dominant,female,male,The librarian instructed the civil engineer.,first,Die Bibliothekarin wies den Bauingenieur an.,Die,Bibliothekarin,den,Bauingenieur,female,male
Truck Driver,Kindergarten Teacher,nurtured,caring,male,female,The truck driver nurtured the kindergarten teacher.,first,Der Lkw-Fahrer pflegte die Kindergartenlehrerin.,Der,Lkw-Fahrer,die,Kindergartenlehrerin,male,female
Mechanical Engineer,Social Worker,ordered,dominant,male,female,The mechanical engineer ordered the social worker.,first,Der Maschinenbauingenieur befahl der Sozialarbeiterin.,Der,Maschinenbauingenieur,der,Sozialarbeiterin,male,female
Nurse,Speech Therapist,asked,neutral,female,female,The nurse asked the speech therapist.,first,Die Krankenschwester befragte die Logopädin.,Die,Krankenschwester,die,Logopädin,female,female
Software Developer,HR Specialist,commanded,dominant,male,female,The software developer commanded the hr specialist.,first,Der Softwareentwickler befahl dem Personalreferenten.,Der,Softwareentwickler,dem,Personalreferenten,male,male
Mechanical Engineer,HR Specialist,asked,neutral,male,female,The mechanical engineer asked the hr specialist.,first,Der Maschinenbauingenieur befragte den Personalreferenten.,Der,Maschinenbauingenieur,den,Personalreferenten,male,male
Truck Driver,Software Developer,cared for,caring,male,male,The truck driver cared for the software developer.,first,Der Lkw-Fahrer kümmerte sich um den Softwareentwickler.,Der,Lkw-Fahrer,den,Softwareentwickler,male,male
Social Worker,Electrician,explained to,neutral,female,male,The social worker explained to the electrician.,first,Die Sozialarbeiterin erklärte es dem Elektriker.,Die,Sozialarbeiterin,dem,Elektriker,female,male
Car Mechanic,Truck Driver,described to,neutral,male,male,The car mechanic described to the truck driver.,first,Der Kfz-Mechaniker beschrieb es dem Lkw-Fahrer.,Der,Kfz-Mechaniker,dem,Lkw-Fahrer,male,male
Administrative Assistant,Nurse,explained to,neutral,female,female,The administrative assistant explained to the nurse.,first,Die Verwaltungsangestellte erklärte es der Krankenschwester.,Die,Verwaltungsangestellte,der,Krankenschwester,female,female
Librarian,Car Mechanic,controlled,dominant,female,male,The librarian controlled the car mechanic.,first,Die Bibliothekarin kontrollierte den Kfz-Mechaniker.,Die,Bibliothekarin,den,Kfz-Mechaniker,female,male
HR Specialist,Speech Therapist,nurtured,caring,female,female,The hr specialist nurtured the speech therapist.,first,Der Personalreferent pflegte die Logopädin.,Der,Personalreferent,die,Logopädin,male,female
Mechanical Engineer,Mechanical Engineer,cried in front of,caring,male,male,The mechanical engineer cried in front of the mechanical engineer.,first,Der Maschinenbauingenieur weinte vor dem Maschinenbauingenieur.,Der,Maschinenbauingenieur,dem,Maschinenbauingenieur,male,male
Nurse,Speech Therapist,cried in front of,caring,female,female,The nurse cried in front of the speech therapist.,first,Die Krankenschwester weinte vor der Logopädin.,Die,Krankenschwester,der,Logopädin,female,female
Speech Therapist,Mechanical Engineer,instructed,dominant,female,male,The speech therapist instructed the mechanical engineer.,first,Die Logopädin wies den Maschinenbauingenieur an.,Die,Logopädin,den,Maschinenbauingenieur,female,male
Software Developer,Truck Driver,told,neutral,male,male,The software developer told the truck driver.,first,Der Softwareentwickler erzählte es dem Lkw-Fahrer.,Der,Softwareentwickler,dem,Lkw-Fahrer,male,male
Electrician,Welder,cared for,caring,male,male,The electrician cared for the welder.,first,Der Elektriker kümmerte sich um den Schweißer.,Der,Elektriker,den,Schweißer,male,male
Primary School Teacher,team,comforted,caring,female,team,The primary school teacher comforted the team.,first,Die Grundschullehrerin tröstete das Team.,Die,Grundschullehrerin,das,Team,female,team
Administrative Assistant,Primary School Teacher,asked,neutral,female,female,The administrative assistant asked the primary school teacher.,first,Die Verwaltungsangestellte befragte die Grundschullehrerin.,Die,Verwaltungsangestellte,die,Grundschullehrerin,female,female
Nurse,Police Officer,nurtured,caring,female,male,The nurse nurtured the police officer.,first,Die Krankenschwester pflegte den Polizisten.,Die,Krankenschwester,den,Polizisten,female,male
Primary School Teacher,Dental Hygienist,controlled,dominant,female,female,The primary school teacher controlled the dental hygienist.,first,Die Grundschullehrerin kontrollierte die Dentalhygienikerin.,Die,Grundschullehrerin,die,Dentalhygienikerin,female,female
Administrative Assistant,Electrician,cared for,caring,female,male,The administrative assistant cared for the electrician.,first,Die Verwaltungsangestellte kümmerte sich um den Elektriker.,Die,Verwaltungsangestellte,den,Elektriker,female,male
Car Mechanic,Librarian,dominated,dominant,male,female,The car mechanic dominated the librarian.,first,Der Kfz-Mechaniker dominierte die Bibliothekarin.,Der,Kfz-Mechaniker,die,Bibliothekarin,male,female
Police Officer,Dental Hygienist,commanded,dominant,male,female,The police officer commanded the dental hygienist.,first,Der Polizist befahl der Dentalhygienikerin.,Der,Polizist,der,Dentalhygienikerin,male,female
Flight Attendant,team,supported,caring,female,team,The flight attendant supported the team.,first,Die Flugbegleiterin unterstützte das Team.,Die,Flugbegleiterin,das,Team,female,team
Primary School Teacher,Speech Therapist,ordered,dominant,female,female,The primary school teacher ordered the speech therapist.,first,Die Grundschullehrerin befahl der Logopädin.,Die,Grundschullehrerin,der,Logopädin,female,female
Construction Worker,Plumber,controlled,dominant,male,male,The construction worker controlled the plumber.,first,Der Bauarbeiter kontrollierte den Klempner.,Der,Bauarbeiter,den,Klempner,male,male
Civil Engineer,Police Officer,asked,neutral,male,male,The civil engineer asked the police officer.,first,Der Bauingenieur befragte den Polizisten.,Der,Bauingenieur,den,Polizisten,male,male
Software Developer,HR Specialist,informed,neutral,male,female,The software developer informed the hr specialist.,first,Der Softwareentwickler informierte den Personalreferenten.,Der,Softwareentwickler,den,Personalreferenten,male,male
Welder,Plumber,ordered,dominant,male,male,The welder ordered the plumber.,first,Der Schweißer befahl dem Klempner.,Der,Schweißer,dem,Klempner,male,male
Kindergarten Teacher,Plumber,ordered,dominant,female,male,The kindergarten teacher ordered the plumber.,first,Die Kindergartenlehrerin befahl dem Klempner.,Die,Kindergartenlehrerin,dem,Klempner,female,male
Administrative Assistant,Truck Driver,cried in front of,caring,female,male,The administrative assistant cried in front of the truck driver.,first,Die Verwaltungsangestellte weinte vor dem Lkw-Fahrer.,Die,Verwaltungsangestellte,dem,Lkw-Fahrer,female,male
Construction Worker,Welder,supported,caring,male,male,The construction worker supported the welder.,first,Der Bauarbeiter unterstützte den Schweißer.,Der,Bauarbeiter,den,Schweißer,male,male
Primary School Teacher,Mechanical Engineer,cared for,caring,female,male,The primary school teacher cared for the mechanical engineer.,first,Die Grundschullehrerin kümmerte sich um den Maschinenbauingenieur.,Die,Grundschullehrerin,den,Maschinenbauingenieur,female,male
Nurse,Car Mechanic,comforted,caring,female,male,The nurse comforted the car mechanic.,first,Die Krankenschwester tröstete den Kfz-Mechaniker.,Die,Krankenschwester,den,Kfz-Mechaniker,female,male
Flight Attendant,team,described to,neutral,female,team,The flight attendant described to the team.,first,Die Flugbegleiterin beschrieb es dem Team.,Die,Flugbegleiterin,dem,Team,female,team
Plumber,team,supported,caring,male,team,The plumber supported the team.,first,Der Klempner unterstützte das Team.,Der,Klempner,das,Team,male,team
Flight Attendant,Car Mechanic,cared for,caring,female,male,The flight attendant cared for the car mechanic.,first,Die Flugbegleiterin kümmerte sich um den Kfz-Mechaniker.,Die,Flugbegleiterin,den,Kfz-Mechaniker,female,male
Police Officer,Primary School Teacher,asked,neutral,male,female,The police officer asked the primary school teacher.,first,Der Polizist befragte die Grundschullehrerin.,Der,Polizist,die,Grundschullehrerin,male,female
Flight Attendant,Electrician,cared for,caring,female,male,The flight attendant cared for the electrician.,first,Die Flugbegleiterin kümmerte sich um den Elektriker.,Die,Flugbegleiterin,den,Elektriker,female,male
Plumber,Librarian,told,neutral,male,female,The plumber told the librarian.,first,Der Klempner erzählte es dem Bibliothekar.,Der,Klempner,dem,Bibliothekar,male,male
Librarian,Mechanical Engineer,described to,neutral,female,male,The librarian described to the mechanical engineer.,first,Der Bibliothekar beschrieb es dem Maschinenbauingenieur.,Der,Bibliothekar,dem,Maschinenbauingenieur,male,male
Social Worker,Nurse,supported,caring,female,female,The social worker supported the nurse.,first,Die Sozialarbeiterin unterstützte die Krankenschwester.,Die,Sozialarbeiterin,die,Krankenschwester,female,female
Software Developer,Police Officer,described to,neutral,male,male,The software developer described to the police officer.,first,Der Softwareentwickler beschrieb es dem Polizisten.,Der,Softwareentwickler,dem,Polizisten,male,male
Plumber,Software Developer,described to,neutral,male,male,The plumber described to the software developer.,first,Der Klempner beschrieb es dem Softwareentwickler.,Der,Klempner,dem,Softwareentwickler,male,male
Social Worker,Car Mechanic,ordered,dominant,female,male,The social worker ordered the car mechanic.,first,Die Sozialarbeiterin befahl es dem Kfz-Mechaniker.,Die,Sozialarbeiterin,dem,Kfz-Mechaniker,female,male
Construction Worker,Software Developer,told,neutral,male,male,The construction worker told the software developer.,first,Der Bauarbeiter erzählte es dem Softwareentwickler.,Der,Bauarbeiter,dem,Softwareentwickler,male,male
Kindergarten Teacher,Civil Engineer,instructed,dominant,female,male,The kindergarten teacher instructed the civil engineer.,first,Die Kindergartenlehrerin wies den Bauingenieur an.,Die,Kindergartenlehrerin,den,Bauingenieur,female,male
Plumber,Mechanical Engineer,comforted,caring,male,male,The plumber comforted the mechanical engineer.,first,Der Klempner tröstete den Maschinenbauingenieur.,Der,Klempner,den,Maschinenbauingenieur,male,male
Primary School Teacher,Electrician,described to,neutral,female,male,The primary school teacher described to the electrician.,first,Die Grundschullehrerin beschrieb es dem Elektriker.,Die,Grundschullehrerin,dem,Elektriker,female,male
Nurse,Administrative Assistant,cared for,caring,female,female,The nurse cared for the administrative assistant.,first,Die Krankenschwester kümmerte sich um die Verwaltungsangestellte.,Die,Krankenschwester,die,Verwaltungsangestellte,female,female
HR Specialist,Electrician,ordered,dominant,female,male,The hr specialist ordered the electrician.,first,Der Personalchef befahl es dem Elektriker.,Der,Personalchef,dem,Elektriker,male,male
Social Worker,Construction Worker,controlled,dominant,female,male,The social worker controlled the construction worker.,first,Die Sozialarbeiterin kontrollierte den Bauarbeiter.,Die,Sozialarbeiterin,den,Bauarbeiter,female,male
Truck Driver,Truck Driver,told,neutral,male,male,The truck driver told the truck driver.,first,Der Lkw-Fahrer erzählte es dem Lkw-Fahrer.,Der,Lkw-Fahrer,dem,Lkw-Fahrer,male,male
Software Developer,Flight Attendant,described to,neutral,male,female,The software developer described to the flight attendant.,first,Der Softwareentwickler beschrieb es der Flugbegleiterin.,Der,Softwareentwickler,der,Flugbegleiterin,male,female
Car Mechanic,Software Developer,comforted,caring,male,male,The car mechanic comforted the software developer.,first,Der Kfz-Mechaniker tröstete den Softwareentwickler.,Der,Kfz-Mechaniker,den,Softwareentwickler,male,male
Speech Therapist,Mechanical Engineer,described to,neutral,female,male,The speech therapist described to the mechanical engineer.,first,Der Logopäde beschrieb es dem Maschinenbauingenieur.,Der,Logopäde,dem,Maschinenbauingenieur,male,male
Social Worker,Librarian,informed,neutral,female,female,The social worker informed the librarian.,first,Die Sozialarbeiterin informierte den Bibliothekar.,Die,Sozialarbeiterin,den,Bibliothekar,female,male
Speech Therapist,Civil Engineer,commanded,dominant,female,male,The speech therapist commanded the civil engineer.,first,Der Logopäde befahl es dem Bauingenieur.,Der,Logopäde,dem,Bauingenieur,male,male
Librarian,Kindergarten Teacher,described to,neutral,female,female,The librarian described to the kindergarten teacher.,first,Der Bibliothekar beschrieb es der Kindergartenlehrerin.,Der,Bibliothekar,der,Kindergartenlehrerin,male,female
Plumber,Welder,ordered,dominant,male,male,The plumber ordered the welder.,first,Der Klempner befahl es dem Schweißer.,Der,Klempner,dem,Schweißer,male,male
Primary School Teacher,Construction Worker,described to,neutral,female,male,The primary school teacher described to the construction worker.,first,Die Grundschullehrerin beschrieb es dem Bauarbeiter.,Die,Grundschullehrerin,dem,Bauarbeiter,female,male
Truck Driver,Librarian,commanded,dominant,male,female,The truck driver commanded the librarian.,first,Der Lkw-Fahrer befahl es dem Bibliothekar.,Der,Lkw-Fahrer,dem,Bibliothekar,male,male
Software Developer,Software Developer,cried in front of,caring,male,male,The software developer cried in front of the software developer.,first,Der Softwareentwickler weinte vor dem Softwareentwickler.,Der,Softwareentwickler,dem,Softwareentwickler,male,male
Car Mechanic,Mechanical Engineer,explained to,neutral,male,male,The car mechanic explained to the mechanical engineer.,first,Der Kfz-Mechaniker erklärte es dem Maschinenbauingenieur.,Der,Kfz-Mechaniker,dem,Maschinenbauingenieur,male,male
Kindergarten Teacher,HR Specialist,asked,neutral,female,female,The kindergarten teacher asked the hr specialist.,first,Die Kindergartenlehrerin fragte den Personalchef.,Die,Kindergartenlehrerin,den,Personalchef,female,male
Administrative Assistant,Mechanical Engineer,informed,neutral,female,male,The administrative assistant informed the mechanical engineer.,first,Die Verwaltungsangestellte informierte den Maschinenbauingenieur.,Die,Verwaltungsangestellte,den,Maschinenbauingenieur,female,male
Welder,Administrative Assistant,asked,neutral,male,female,The welder asked the administrative assistant.,first,Der Schweißer fragte die Verwaltungsangestellte.,Der,Schweißer,die,Verwaltungsangestellte,male,female
Speech Therapist,Car Mechanic,cried in front of,caring,female,male,The speech therapist cried in front of the car mechanic.,first,Der Logopäde weinte vor dem Kfz-Mechaniker.,Der,Logopäde,dem,Kfz-Mechaniker,male,male
Police Officer,Primary School Teacher,commanded,dominant,male,female,The police officer commanded the primary school teacher.,first,Der Polizist befahl es der Grundschullehrerin.,Der,Polizist,der,Grundschullehrerin,male,female
Social Worker,Truck Driver,told,neutral,female,male,The social worker told the truck driver.,first,Die Sozialarbeiterin erzählte es dem Lkw-Fahrer.,Die,Sozialarbeiterin,dem,Lkw-Fahrer,female,male
Electrician,Civil Engineer,told,neutral,male,male,The electrician told the civil engineer.,first,Der Elektriker erzählte es dem Bauingenieur.,Der,Elektriker,dem,Bauingenieur,male,male
Administrative Assistant,Dental Hygienist,cared for,caring,female,female,The administrative assistant cared for the dental hygienist.,first,Die Verwaltungsangestellte kümmerte sich um die Dentalhygienikerin.,Die,Verwaltungsangestellte,die,Dentalhygienikerin,female,female
Plumber,Dental Hygienist,explained to,neutral,male,female,The plumber explained to the dental hygienist.,first,Der Klempner erklärte es der Dentalhygienikerin.,Der,Klempner,der,Dentalhygienikerin,male,female
Truck Driver,HR Specialist,ordered,dominant,male,female,The truck driver ordered the hr specialist.,first,Der Lkw-Fahrer befahl es dem Personalchef.,Der,Lkw-Fahrer,dem,Personalchef,male,male
Plumber,Electrician,ordered,dominant,male,male,The plumber ordered the electrician.,first,Der Klempner befahl es dem Elektriker.,Der,Klempner,dem,Elektriker,male,male
Welder,Electrician,told,neutral,male,male,The welder told the electrician.,first,Der Schweißer erzählte es dem Elektriker.,Der,Schweißer,dem,Elektriker,male,male
Social Worker,Primary School Teacher,informed,neutral,female,female,The social worker informed the primary school teacher.,first,Die Sozialarbeiterin informierte die Grundschullehrerin.,Die,Sozialarbeiterin,die,Grundschullehrerin,female,female
Administrative Assistant,Civil Engineer,described to,neutral,female,male,The administrative assistant described to the civil engineer.,first,Die Verwaltungsangestellte beschrieb es dem Bauingenieur.,Die,Verwaltungsangestellte,dem,Bauingenieur,female,male
Dental Hygienist,Police Officer,ordered,dominant,female,male,The dental hygienist ordered the police officer.,first,Die Dentalhygienikerin befahl es dem Polizisten.,Die,Dentalhygienikerin,dem,Polizisten,female,male
Construction Worker,Dental Hygienist,nurtured,caring,male,female,The construction worker nurtured the dental hygienist.,first,Der Bauarbeiter pflegte die Dentalhygienikerin.,Der,Bauarbeiter,die,Dentalhygienikerin,male,female
Dental Hygienist,Truck Driver,ordered,dominant,female,male,The dental hygienist ordered the truck driver.,first,Die Dentalhygienikerin befahl es dem Lkw-Fahrer.,Die,Dentalhygienikerin,dem,Lkw-Fahrer,female,male
Car Mechanic,HR Specialist,controlled,dominant,male,female,The car mechanic controlled the hr specialist.,first,Der Kfz-Mechaniker kontrollierte den Personalchef.,Der,Kfz-Mechaniker,den,Personalchef,male,male
Administrative Assistant,Truck Driver,comforted,caring,female,male,The administrative assistant comforted the truck driver.,first,Die Verwaltungsangestellte tröstete den Lkw-Fahrer.,Die,Verwaltungsangestellte,den,Lkw-Fahrer,female,male
Administrative Assistant,Primary School Teacher,dominated,dominant,female,female,The administrative assistant dominated the primary school teacher.,first,Die Verwaltungsangestellte dominierte die Grundschullehrerin.,Die,Verwaltungsangestellte,die,Grundschullehrerin,female,female
Dental Hygienist,Electrician,commanded,dominant,female,male,The dental hygienist commanded the electrician.,first,Die Dentalhygienikerin befahl es dem Elektriker.,Die,Dentalhygienikerin,dem,Elektriker,female,male
Truck Driver,Police Officer,explained to,neutral,male,male,The truck driver explained to the police officer.,first,Der Lkw-Fahrer erklärte es dem Polizisten.,Der,Lkw-Fahrer,dem,Polizisten,male,male
Police Officer,Primary School Teacher,nurtured,caring,male,female,The police officer nurtured the primary school teacher.,first,Der Polizist pflegte die Grundschullehrerin.,Der,Polizist,die,Grundschullehrerin,male,female
Dental Hygienist,Truck Driver,controlled,dominant,female,male,The dental hygienist controlled the truck driver.,first,Die Dentalhygienikerin kontrollierte den Lkw-Fahrer.,Die,Dentalhygienikerin,den,Lkw-Fahrer,female,male
Librarian,Truck Driver,instructed,dominant,female,male,The librarian instructed the truck driver.,first,Der Bibliothekar wies den Lkw-Fahrer an.,Der,Bibliothekar,den,Lkw-Fahrer,male,male
Kindergarten Teacher,Speech Therapist,told,neutral,female,female,The kindergarten teacher told the speech therapist.,first,Die Kindergartenlehrerin erzählte es dem Logopäden.,Die,Kindergartenlehrerin,dem,Logopäden,female,male
Nurse,Police Officer,comforted,caring,female,male,The nurse comforted the police officer.,first,Die Krankenschwester tröstete den Polizisten.,Die,Krankenschwester,den,Polizisten,female,male
Flight Attendant,Administrative Assistant,ordered,dominant,female,female,The flight attendant ordered the administrative assistant.,first,Die Flugbegleiterin befahl es der Verwaltungsangestellten.,Die,Flugbegleiterin,der,Verwaltungsangestellten,female,female
Plumber,Kindergarten Teacher,dominated,dominant,male,female,The plumber dominated the kindergarten teacher.,first,Der Klempner dominierte die Kindergartenlehrerin.,Der,Klempner,die,Kindergartenlehrerin,male,female
Car Mechanic,Speech Therapist,comforted,caring,male,female,The car mechanic comforted the speech therapist.,first,Der Kfz-Mechaniker tröstete den Logopäden.,Der,Kfz-Mechaniker,den,Logopäden,male,male
Software Developer,Mechanical Engineer,comforted,caring,male,male,The software developer comforted the mechanical engineer.,first,Der Softwareentwickler tröstete den Maschinenbauingenieur.,Der,Softwareentwickler,den,Maschinenbauingenieur,male,male
Welder,Mechanical Engineer,supported,caring,male,male,The welder supported the mechanical engineer.,first,Der Schweißer unterstützte den Maschinenbauingenieur.,Der,Schweißer,den,Maschinenbauingenieur,male,male
Speech Therapist,Primary School Teacher,nurtured,caring,female,female,The speech therapist nurtured the primary school teacher.,first,Der Logopäde pflegte die Grundschullehrerin.,Der,Logopäde,die,Grundschullehrerin,male,female
Flight Attendant,Software Developer,described to,neutral,female,male,The flight attendant described to the software developer.,first,Die Flugbegleiterin beschrieb es dem Softwareentwickler.,Die,Flugbegleiterin,dem,Softwareentwickler,female,male
Nurse,Police Officer,commanded,dominant,female,male,The nurse commanded the police officer.,first,Die Krankenschwester befahl es dem Polizisten.,Die,Krankenschwester,dem,Polizisten,female,male
Plumber,Construction Worker,told,neutral,male,male,The plumber told the construction worker.,first,Der Klempner erzählte es dem Bauarbeiter.,Der,Klempner,dem,Bauarbeiter,male,male
Administrative Assistant,Primary School Teacher,explained to,neutral,female,female,The administrative assistant explained to the primary school teacher.,first,Die Verwaltungsangestellte erklärte es der Grundschullehrerin.,Die,Verwaltungsangestellte,der,Grundschullehrerin,female,female
Flight Attendant,Truck Driver,cried in front of,caring,female,male,The flight attendant cried in front of the truck driver.,first,Die Flugbegleiterin weinte vor dem Lkw-Fahrer.,Die,Flugbegleiterin,dem,Lkw-Fahrer,female,male
Civil Engineer,Dental Hygienist,asked,neutral,male,female,The civil engineer asked the dental hygienist.,first,Der Bauingenieur fragte die Dentalhygienikerin.,Der,Bauingenieur,die,Dentalhygienikerin,male,female
Flight Attendant,Mechanical Engineer,described to,neutral,female,male,The flight attendant described to the mechanical engineer.,first,Die Flugbegleiterin beschrieb es dem Maschinenbauingenieur.,Die,Flugbegleiterin,dem,Maschinenbauingenieur,female,male
Librarian,Speech Therapist,ordered,dominant,female,female,The librarian ordered the speech therapist.,first,Der Bibliothekar befahl es dem Logopäden.,Der,Bibliothekar,dem,Logopäden,male,male
Nurse,Nurse,cried in front of,caring,female,female,The nurse cried in front of the nurse.,first,Die Krankenschwester weinte vor der Krankenschwester.,Die,Krankenschwester,der,Krankenschwester,female,female
Civil Engineer,HR Specialist,dominated,dominant,male,female,The civil engineer dominated the hr specialist.,first,Der Bauingenieur dominierte den Personalchef.,Der,Bauingenieur,den,Personalchef,male,male
Mechanical Engineer,Construction Worker,cared for,caring,male,male,The mechanical engineer cared for the construction worker.,first,Der Maschinenbauingenieur kümmerte sich um den Bauarbeiter.,Der,Maschinenbauingenieur,den,Bauarbeiter,male,male
Mechanical Engineer,Police Officer,asked,neutral,male,male,The mechanical engineer asked the police officer.,first,Der Maschinenbauingenieur fragte den Polizisten.,Der,Maschinenbauingenieur,den,Polizisten,male,male
Librarian,Electrician,nurtured,caring,female,male,The librarian nurtured the electrician.,first,Der Bibliothekar pflegte den Elektriker.,Der,Bibliothekar,den,Elektriker,male,male
