job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position
Truck Driver,Plumber,described to,neutral,male,male,The truck driver described to the plumber.,first
Mechanical Engineer,Welder,instructed,dominant,male,male,The mechanical engineer instructed the welder.,first
Electrician,Electrician,cared for,caring,male,male,The electrician cared for the electrician.,first
Dental Hygienist,Social Worker,described to,neutral,female,female,The dental hygienist described to the social worker.,first
Electrician,Administrative Assistant,commanded,dominant,male,female,The electrician commanded the administrative assistant.,first
Mechanical Engineer,Dental Hygienist,told,neutral,male,female,The mechanical engineer told the dental hygienist.,first
HR Specialist,Software Developer,cried in front of,caring,female,male,The hr specialist cried in front of the software developer.,first
Civil Engineer,Mechanical Engineer,asked,neutral,male,male,The civil engineer asked the mechanical engineer.,first
Car Mechanic,Truck Driver,instructed,dominant,male,male,The car mechanic instructed the truck driver.,first
Primary School Teacher,Welder,cared for,caring,female,male,The primary school teacher cared for the welder.,first
Software Developer,Primary School Teacher,instructed,dominant,male,female,The software developer instructed the primary school teacher.,first
Administrative Assistant,Mechanical Engineer,cried in front of,caring,female,male,The administrative assistant cried in front of the mechanical engineer.,first
Police Officer,Kindergarten Teacher,asked,neutral,male,female,The police officer asked the kindergarten teacher.,first
Software Developer,Primary School Teacher,nurtured,caring,male,female,The software developer nurtured the primary school teacher.,first
Speech Therapist,Welder,asked,neutral,female,male,The speech therapist asked the welder.,first
Speech Therapist,Social Worker,dominated,dominant,female,female,The speech therapist dominated the social worker.,first
Administrative Assistant,HR Specialist,explained to,neutral,female,female,The administrative assistant explained to the hr specialist.,first
Administrative Assistant,Software Developer,instructed,dominant,female,male,The administrative assistant instructed the software developer.,first
Car Mechanic,HR Specialist,informed,neutral,male,female,The car mechanic informed the hr specialist.,first
HR Specialist,Administrative Assistant,commanded,dominant,female,female,The hr specialist commanded the administrative assistant.,first
Welder,Police Officer,told,neutral,male,male,The welder told the police officer.,first
Mechanical Engineer,Construction Worker,explained to,neutral,male,male,The mechanical engineer explained to the construction worker.,first
Electrician,Librarian,controlled,dominant,male,female,The electrician controlled the librarian.,first
Speech Therapist,Police Officer,nurtured,caring,female,male,The speech therapist nurtured the police officer.,first
Kindergarten Teacher,Dental Hygienist,described to,neutral,female,female,The kindergarten teacher described to the dental hygienist.,first
Plumber,Flight Attendant,nurtured,caring,male,female,The plumber nurtured the flight attendant.,first
Flight Attendant,Primary School Teacher,told,neutral,female,female,The flight attendant told the primary school teacher.,first
Speech Therapist,team,ordered,dominant,female,team,The speech therapist ordered the team.,first
Civil Engineer,Flight Attendant,dominated,dominant,male,female,The civil engineer dominated the flight attendant.,first
Speech Therapist,team,controlled,dominant,female,team,The speech therapist controlled the team.,first
Truck Driver,Software Developer,controlled,dominant,male,male,The truck driver controlled the software developer.,first
Truck Driver,Police Officer,explained to,neutral,male,male,The truck driver explained to the police officer.,first
Welder,Construction Worker,instructed,dominant,male,male,The welder instructed the construction worker.,first
Car Mechanic,Primary School Teacher,described to,neutral,male,female,The car mechanic described to the primary school teacher.,first
Dental Hygienist,Welder,nurtured,caring,female,male,The dental hygienist nurtured the welder.,first
Social Worker,Kindergarten Teacher,instructed,dominant,female,female,The social worker instructed the kindergarten teacher.,first
Software Developer,Administrative Assistant,supported,caring,male,female,The software developer supported the administrative assistant.,first
Truck Driver,Flight Attendant,cared for,caring,male,female,The truck driver cared for the flight attendant.,first
Welder,Plumber,asked,neutral,male,male,The welder asked the plumber.,first
Kindergarten Teacher,Construction Worker,ordered,dominant,female,male,The kindergarten teacher ordered the construction worker.,first
Electrician,Construction Worker,informed,neutral,male,male,The electrician informed the construction worker.,first
Flight Attendant,Software Developer,nurtured,caring,female,male,The flight attendant nurtured the software developer.,first
Plumber,team,supported,caring,male,team,The plumber supported the team.,first
Administrative Assistant,Truck Driver,dominated,dominant,female,male,The administrative assistant dominated the truck driver.,first
Primary School Teacher,Administrative Assistant,dominated,dominant,female,female,The primary school teacher dominated the administrative assistant.,first
Civil Engineer,Welder,informed,neutral,male,male,The civil engineer informed the welder.,first
Kindergarten Teacher,Welder,dominated,dominant,female,male,The kindergarten teacher dominated the welder.,first
Construction Worker,Car Mechanic,ordered,dominant,male,male,The construction worker ordered the car mechanic.,first
Police Officer,Civil Engineer,cared for,caring,male,male,The police officer cared for the civil engineer.,first
Kindergarten Teacher,Plumber,told,neutral,female,male,The kindergarten teacher told the plumber.,first
Administrative Assistant,Plumber,nurtured,caring,female,male,The administrative assistant nurtured the plumber.,first
Social Worker,Welder,comforted,caring,female,male,The social worker comforted the welder.,first
Flight Attendant,Speech Therapist,nurtured,caring,female,female,The flight attendant nurtured the speech therapist.,first
Mechanical Engineer,Flight Attendant,informed,neutral,male,female,The mechanical engineer informed the flight attendant.,first
Police Officer,Flight Attendant,cried in front of,caring,male,female,The police officer cried in front of the flight attendant.,first
Librarian,Primary School Teacher,informed,neutral,female,female,The librarian informed the primary school teacher.,first
Truck Driver,Flight Attendant,cried in front of,caring,male,female,The truck driver cried in front of the flight attendant.,first
Administrative Assistant,Police Officer,comforted,caring,female,male,The administrative assistant comforted the police officer.,first
Civil Engineer,Police Officer,informed,neutral,male,male,The civil engineer informed the police officer.,first
Plumber,Car Mechanic,asked,neutral,male,male,The plumber asked the car mechanic.,first
Nurse,Mechanical Engineer,nurtured,caring,female,male,The nurse nurtured the mechanical engineer.,first
Electrician,Nurse,cried in front of,caring,male,female,The electrician cried in front of the nurse.,first
Nurse,Police Officer,commanded,dominant,female,male,The nurse commanded the police officer.,first
Social Worker,Flight Attendant,supported,caring,female,female,The social worker supported the flight attendant.,first
Nurse,Construction Worker,controlled,dominant,female,male,The nurse controlled the construction worker.,first
Primary School Teacher,Flight Attendant,commanded,dominant,female,female,The primary school teacher commanded the flight attendant.,first
Police Officer,Truck Driver,asked,neutral,male,male,The police officer asked the truck driver.,first
Primary School Teacher,Kindergarten Teacher,asked,neutral,female,female,The primary school teacher asked the kindergarten teacher.,first
Mechanical Engineer,Administrative Assistant,explained to,neutral,male,female,The mechanical engineer explained to the administrative assistant.,first
Mechanical Engineer,Civil Engineer,described to,neutral,male,male,The mechanical engineer described to the civil engineer.,first
Dental Hygienist,Truck Driver,supported,caring,female,male,The dental hygienist supported the truck driver.,first
Flight Attendant,Kindergarten Teacher,described to,neutral,female,female,The flight attendant described to the kindergarten teacher.,first
Nurse,Kindergarten Teacher,nurtured,caring,female,female,The nurse nurtured the kindergarten teacher.,first
Flight Attendant,Flight Attendant,ordered,dominant,female,female,The flight attendant ordered the flight attendant.,first
Construction Worker,Kindergarten Teacher,ordered,dominant,male,female,The construction worker ordered the kindergarten teacher.,first
Electrician,Social Worker,dominated,dominant,male,female,The electrician dominated the social worker.,first
Speech Therapist,Social Worker,told,neutral,female,female,The speech therapist told the social worker.,first
Dental Hygienist,Car Mechanic,commanded,dominant,female,male,The dental hygienist commanded the car mechanic.,first
Construction Worker,Software Developer,asked,neutral,male,male,The construction worker asked the software developer.,first
HR Specialist,Speech Therapist,supported,caring,female,female,The hr specialist supported the speech therapist.,first
Flight Attendant,Construction Worker,ordered,dominant,female,male,The flight attendant ordered the construction worker.,first
Primary School Teacher,Welder,dominated,dominant,female,male,The primary school teacher dominated the welder.,first
Social Worker,Software Developer,cared for,caring,female,male,The social worker cared for the software developer.,first
Nurse,Kindergarten Teacher,cried in front of,caring,female,female,The nurse cried in front of the kindergarten teacher.,first
Flight Attendant,Truck Driver,described to,neutral,female,male,The flight attendant described to the truck driver.,first
Police Officer,Civil Engineer,explained to,neutral,male,male,The police officer explained to the civil engineer.,first
Software Developer,Speech Therapist,described to,neutral,male,female,The software developer described to the speech therapist.,first
Software Developer,Flight Attendant,instructed,dominant,male,female,The software developer instructed the flight attendant.,first
Social Worker,Primary School Teacher,asked,neutral,female,female,The social worker asked the primary school teacher.,first
HR Specialist,Software Developer,described to,neutral,female,male,The hr specialist described to the software developer.,first
Nurse,Flight Attendant,dominated,dominant,female,female,The nurse dominated the flight attendant.,first
Plumber,Social Worker,described to,neutral,male,female,The plumber described to the social worker.,first
Kindergarten Teacher,Welder,nurtured,caring,female,male,The kindergarten teacher nurtured the welder.,first
Police Officer,Mechanical Engineer,nurtured,caring,male,male,The police officer nurtured the mechanical engineer.,first
Social Worker,Plumber,told,neutral,female,male,The social worker told the plumber.,first
Primary School Teacher,Nurse,explained to,neutral,female,female,The primary school teacher explained to the nurse.,first
Electrician,Electrician,dominated,dominant,male,male,The electrician dominated the electrician.,first
Dental Hygienist,Social Worker,commanded,dominant,female,female,The dental hygienist commanded the social worker.,first
Police Officer,Software Developer,comforted,caring,male,male,The police officer comforted the software developer.,first
Electrician,Flight Attendant,cried in front of,caring,male,female,The electrician cried in front of the flight attendant.,first
Electrician,Kindergarten Teacher,explained to,neutral,male,female,The electrician explained to the kindergarten teacher.,first
Civil Engineer,Police Officer,nurtured,caring,male,male,The civil engineer nurtured the police officer.,first
Flight Attendant,Plumber,described to,neutral,female,male,The flight attendant described to the plumber.,first
Primary School Teacher,Plumber,supported,caring,female,male,The primary school teacher supported the plumber.,first
Librarian,Primary School Teacher,commanded,dominant,female,female,The librarian commanded the primary school teacher.,first
HR Specialist,Kindergarten Teacher,cared for,caring,female,female,The hr specialist cared for the kindergarten teacher.,first
Speech Therapist,Nurse,cried in front of,caring,female,female,The speech therapist cried in front of the nurse.,first
Dental Hygienist,HR Specialist,controlled,dominant,female,female,The dental hygienist controlled the hr specialist.,first
Flight Attendant,Speech Therapist,cried in front of,caring,female,female,The flight attendant cried in front of the speech therapist.,first
Dental Hygienist,Administrative Assistant,described to,neutral,female,female,The dental hygienist described to the administrative assistant.,first
Librarian,Dental Hygienist,explained to,neutral,female,female,The librarian explained to the dental hygienist.,first
Civil Engineer,Librarian,ordered,dominant,male,female,The civil engineer ordered the librarian.,first
Speech Therapist,Dental Hygienist,told,neutral,female,female,The speech therapist told the dental hygienist.,first
Primary School Teacher,Kindergarten Teacher,described to,neutral,female,female,The primary school teacher described to the kindergarten teacher.,first
Civil Engineer,Welder,explained to,neutral,male,male,The civil engineer explained to the welder.,first
Nurse,Electrician,nurtured,caring,female,male,The nurse nurtured the electrician.,first
Speech Therapist,Plumber,supported,caring,female,male,The speech therapist supported the plumber.,first
Construction Worker,Police Officer,instructed,dominant,male,male,The construction worker instructed the police officer.,first
Nurse,Social Worker,explained to,neutral,female,female,The nurse explained to the social worker.,first
Speech Therapist,Flight Attendant,told,neutral,female,female,The speech therapist told the flight attendant.,first
Civil Engineer,Software Developer,commanded,dominant,male,male,The civil engineer commanded the software developer.,first
Librarian,Plumber,comforted,caring,female,male,The librarian comforted the plumber.,first
Librarian,Nurse,controlled,dominant,female,female,The librarian controlled the nurse.,first
Mechanical Engineer,Plumber,commanded,dominant,male,male,The mechanical engineer commanded the plumber.,first
Mechanical Engineer,Car Mechanic,ordered,dominant,male,male,The mechanical engineer ordered the car mechanic.,first
Primary School Teacher,Police Officer,ordered,dominant,female,male,The primary school teacher ordered the police officer.,first
Software Developer,Software Developer,asked,neutral,male,male,The software developer asked the software developer.,first
Social Worker,Dental Hygienist,informed,neutral,female,female,The social worker informed the dental hygienist.,first
Construction Worker,Dental Hygienist,controlled,dominant,male,female,The construction worker controlled the dental hygienist.,first
Librarian,Welder,cried in front of,caring,female,male,The librarian cried in front of the welder.,first
Flight Attendant,Kindergarten Teacher,comforted,caring,female,female,The flight attendant comforted the kindergarten teacher.,first
Civil Engineer,Electrician,dominated,dominant,male,male,The civil engineer dominated the electrician.,first
Civil Engineer,team,described to,neutral,male,team,The civil engineer described to the team.,first
Kindergarten Teacher,Software Developer,instructed,dominant,female,male,The kindergarten teacher instructed the software developer.,first
Plumber,Kindergarten Teacher,told,neutral,male,female,The plumber told the kindergarten teacher.,first
Truck Driver,Software Developer,comforted,caring,male,male,The truck driver comforted the software developer.,first
Software Developer,Car Mechanic,explained to,neutral,male,male,The software developer explained to the car mechanic.,first
Civil Engineer,team,dominated,dominant,male,team,The civil engineer dominated the team.,first
Welder,Electrician,instructed,dominant,male,male,The welder instructed the electrician.,first
Flight Attendant,Truck Driver,informed,neutral,female,male,The flight attendant informed the truck driver.,first
Speech Therapist,Librarian,described to,neutral,female,female,The speech therapist described to the librarian.,first
Construction Worker,team,dominated,dominant,male,team,The construction worker dominated the team.,first
Construction Worker,Construction Worker,instructed,dominant,male,male,The construction worker instructed the construction worker.,first
Plumber,Truck Driver,cried in front of,caring,male,male,The plumber cried in front of the truck driver.,first
Flight Attendant,Electrician,explained to,neutral,female,male,The flight attendant explained to the electrician.,first
Software Developer,Car Mechanic,dominated,dominant,male,male,The software developer dominated the car mechanic.,first
Flight Attendant,Flight Attendant,comforted,caring,female,female,The flight attendant comforted the flight attendant.,first
Truck Driver,Social Worker,controlled,dominant,male,female,The truck driver controlled the social worker.,first
Dental Hygienist,Flight Attendant,described to,neutral,female,female,The dental hygienist described to the flight attendant.,first
Police Officer,team,explained to,neutral,male,team,The police officer explained to the team.,first
Civil Engineer,Speech Therapist,explained to,neutral,male,female,The civil engineer explained to the speech therapist.,first
Primary School Teacher,HR Specialist,informed,neutral,female,female,The primary school teacher informed the hr specialist.,first
Flight Attendant,Flight Attendant,told,neutral,female,female,The flight attendant told the flight attendant.,first
Software Developer,Nurse,informed,neutral,male,female,The software developer informed the nurse.,first
Dental Hygienist,Construction Worker,supported,caring,female,male,The dental hygienist supported the construction worker.,first
Flight Attendant,Nurse,described to,neutral,female,female,The flight attendant described to the nurse.,first
Police Officer,Truck Driver,comforted,caring,male,male,The police officer comforted the truck driver.,first
Construction Worker,Speech Therapist,nurtured,caring,male,female,The construction worker nurtured the speech therapist.,first
Electrician,Welder,comforted,caring,male,male,The electrician comforted the welder.,first
Social Worker,Police Officer,told,neutral,female,male,The social worker told the police officer.,first
Electrician,Dental Hygienist,comforted,caring,male,female,The electrician comforted the dental hygienist.,first
Electrician,Car Mechanic,informed,neutral,male,male,The electrician informed the car mechanic.,first
Car Mechanic,Librarian,dominated,dominant,male,female,The car mechanic dominated the librarian.,first
Librarian,Welder,ordered,dominant,female,male,The librarian ordered the welder.,first
Software Developer,Civil Engineer,nurtured,caring,male,male,The software developer nurtured the civil engineer.,first
Nurse,Civil Engineer,described to,neutral,female,male,The nurse described to the civil engineer.,first
Dental Hygienist,Librarian,told,neutral,female,female,The dental hygienist told the librarian.,first
Police Officer,Car Mechanic,ordered,dominant,male,male,The police officer ordered the car mechanic.,first
Dental Hygienist,Primary School Teacher,asked,neutral,female,female,The dental hygienist asked the primary school teacher.,first
Truck Driver,Welder,nurtured,caring,male,male,The truck driver nurtured the welder.,first
HR Specialist,team,explained to,neutral,female,team,The hr specialist explained to the team.,first
Primary School Teacher,Kindergarten Teacher,dominated,dominant,female,female,The primary school teacher dominated the kindergarten teacher.,first
Software Developer,Nurse,instructed,dominant,male,female,The software developer instructed the nurse.,first
Construction Worker,Welder,informed,neutral,male,male,The construction worker informed the welder.,first
Civil Engineer,Plumber,nurtured,caring,male,male,The civil engineer nurtured the plumber.,first
Librarian,Librarian,comforted,caring,female,female,The librarian comforted the librarian.,first
Car Mechanic,Flight Attendant,explained to,neutral,male,female,The car mechanic explained to the flight attendant.,first
Car Mechanic,Nurse,dominated,dominant,male,female,The car mechanic dominated the nurse.,first
Dental Hygienist,Mechanical Engineer,explained to,neutral,female,male,The dental hygienist explained to the mechanical engineer.,first
Police Officer,Software Developer,ordered,dominant,male,male,The police officer ordered the software developer.,first
Nurse,Dental Hygienist,comforted,caring,female,female,The nurse comforted the dental hygienist.,first
Truck Driver,Administrative Assistant,informed,neutral,male,female,The truck driver informed the administrative assistant.,first
Primary School Teacher,Flight Attendant,cared for,caring,female,female,The primary school teacher cared for the flight attendant.,first
Truck Driver,Kindergarten Teacher,explained to,neutral,male,female,The truck driver explained to the kindergarten teacher.,first
Mechanical Engineer,Dental Hygienist,dominated,dominant,male,female,The mechanical engineer dominated the dental hygienist.,first
Primary School Teacher,Civil Engineer,comforted,caring,female,male,The primary school teacher comforted the civil engineer.,first
HR Specialist,Librarian,supported,caring,female,female,The hr specialist supported the librarian.,first
Electrician,Plumber,ordered,dominant,male,male,The electrician ordered the plumber.,first
Car Mechanic,Software Developer,asked,neutral,male,male,The car mechanic asked the software developer.,first
Truck Driver,Social Worker,asked,neutral,male,female,The truck driver asked the social worker.,first
Welder,Welder,described to,neutral,male,male,The welder described to the welder.,first
Truck Driver,Electrician,supported,caring,male,male,The truck driver supported the electrician.,first
Speech Therapist,Plumber,ordered,dominant,female,male,The speech therapist ordered the plumber.,first
Dental Hygienist,Truck Driver,described to,neutral,female,male,The dental hygienist described to the truck driver.,first
Police Officer,Police Officer,informed,neutral,male,male,The police officer informed the police officer.,first
Car Mechanic,Plumber,cared for,caring,male,male,The car mechanic cared for the plumber.,first
Librarian,Police Officer,told,neutral,female,male,The librarian told the police officer.,first
Primary School Teacher,Primary School Teacher,controlled,dominant,female,female,The primary school teacher controlled the primary school teacher.,first
Primary School Teacher,Administrative Assistant,described to,neutral,female,female,The primary school teacher described to the administrative assistant.,first
Electrician,Primary School Teacher,cried in front of,caring,male,female,The electrician cried in front of the primary school teacher.,first
Software Developer,Police Officer,supported,caring,male,male,The software developer supported the police officer.,first
Construction Worker,Police Officer,cared for,caring,male,male,The construction worker cared for the police officer.,first
Software Developer,Administrative Assistant,cared for,caring,male,female,The software developer cared for the administrative assistant.,first
Speech Therapist,team,described to,neutral,female,team,The speech therapist described to the team.,first
Electrician,Primary School Teacher,described to,neutral,male,female,The electrician described to the primary school teacher.,first
Social Worker,Librarian,ordered,dominant,female,female,The social worker ordered the librarian.,first
Car Mechanic,Librarian,described to,neutral,male,female,The car mechanic described to the librarian.,first
Social Worker,Electrician,informed,neutral,female,male,The social worker informed the electrician.,first
Truck Driver,Nurse,explained to,neutral,male,female,The truck driver explained to the nurse.,first
Truck Driver,Mechanical Engineer,nurtured,caring,male,male,The truck driver nurtured the mechanical engineer.,first
Car Mechanic,Nurse,controlled,dominant,male,female,The car mechanic controlled the nurse.,first
Car Mechanic,Dental Hygienist,controlled,dominant,male,female,The car mechanic controlled the dental hygienist.,first
Flight Attendant,team,dominated,dominant,female,team,The flight attendant dominated the team.,first
Flight Attendant,Flight Attendant,controlled,dominant,female,female,The flight attendant controlled the flight attendant.,first
Flight Attendant,Librarian,instructed,dominant,female,female,The flight attendant instructed the librarian.,first
Construction Worker,Plumber,asked,neutral,male,male,The construction worker asked the plumber.,first
Civil Engineer,Social Worker,ordered,dominant,male,female,The civil engineer ordered the social worker.,first
Construction Worker,Social Worker,controlled,dominant,male,female,The construction worker controlled the social worker.,first
Car Mechanic,Civil Engineer,instructed,dominant,male,male,The car mechanic instructed the civil engineer.,first
Truck Driver,HR Specialist,nurtured,caring,male,female,The truck driver nurtured the hr specialist.,first
Civil Engineer,Car Mechanic,explained to,neutral,male,male,The civil engineer explained to the car mechanic.,first
Speech Therapist,Mechanical Engineer,supported,caring,female,male,The speech therapist supported the mechanical engineer.,first
Software Developer,HR Specialist,supported,caring,male,female,The software developer supported the hr specialist.,first
Administrative Assistant,Flight Attendant,commanded,dominant,female,female,The administrative assistant commanded the flight attendant.,first
Electrician,Flight Attendant,asked,neutral,male,female,The electrician asked the flight attendant.,first
Nurse,team,cried in front of,caring,female,team,The nurse cried in front of the team.,first
Welder,Flight Attendant,cried in front of,caring,male,female,The welder cried in front of the flight attendant.,first
Car Mechanic,Dental Hygienist,comforted,caring,male,female,The car mechanic comforted the dental hygienist.,first
HR Specialist,Nurse,described to,neutral,female,female,The hr specialist described to the nurse.,first
Kindergarten Teacher,Dental Hygienist,informed,neutral,female,female,The kindergarten teacher informed the dental hygienist.,first
Truck Driver,Flight Attendant,explained to,neutral,male,female,The truck driver explained to the flight attendant.,first
Civil Engineer,Speech Therapist,described to,neutral,male,female,The civil engineer described to the speech therapist.,first
Kindergarten Teacher,Plumber,informed,neutral,female,male,The kindergarten teacher informed the plumber.,first
Construction Worker,HR Specialist,asked,neutral,male,female,The construction worker asked the hr specialist.,first
Social Worker,Speech Therapist,asked,neutral,female,female,The social worker asked the speech therapist.,first
Dental Hygienist,team,informed,neutral,female,team,The dental hygienist informed the team.,first
Dental Hygienist,Librarian,nurtured,caring,female,female,The dental hygienist nurtured the librarian.,first
Administrative Assistant,Civil Engineer,cried in front of,caring,female,male,The administrative assistant cried in front of the civil engineer.,first
Software Developer,Civil Engineer,cried in front of,caring,male,male,The software developer cried in front of the civil engineer.,first
Car Mechanic,Flight Attendant,nurtured,caring,male,female,The car mechanic nurtured the flight attendant.,first
Truck Driver,Software Developer,asked,neutral,male,male,The truck driver asked the software developer.,first
Construction Worker,Flight Attendant,told,neutral,male,female,The construction worker told the flight attendant.,first
Police Officer,Civil Engineer,controlled,dominant,male,male,The police officer controlled the civil engineer.,first
Kindergarten Teacher,Speech Therapist,dominated,dominant,female,female,The kindergarten teacher dominated the speech therapist.,first
Social Worker,Mechanical Engineer,commanded,dominant,female,male,The social worker commanded the mechanical engineer.,first
Civil Engineer,Administrative Assistant,informed,neutral,male,female,The civil engineer informed the administrative assistant.,first
Dental Hygienist,team,asked,neutral,female,team,The dental hygienist asked the team.,first
Civil Engineer,Police Officer,asked,neutral,male,male,The civil engineer asked the police officer.,first
Social Worker,Librarian,informed,neutral,female,female,The social worker informed the librarian.,first
Police Officer,Dental Hygienist,told,neutral,male,female,The police officer told the dental hygienist.,first
Kindergarten Teacher,Police Officer,explained to,neutral,female,male,The kindergarten teacher explained to the police officer.,first
Kindergarten Teacher,Police Officer,instructed,dominant,female,male,The kindergarten teacher instructed the police officer.,first
Administrative Assistant,Nurse,nurtured,caring,female,female,The administrative assistant nurtured the nurse.,first
Social Worker,Civil Engineer,informed,neutral,female,male,The social worker informed the civil engineer.,first
Welder,Electrician,cried in front of,caring,male,male,The welder cried in front of the electrician.,first
Civil Engineer,Electrician,cried in front of,caring,male,male,The civil engineer cried in front of the electrician.,first
Plumber,Nurse,cared for,caring,male,female,The plumber cared for the nurse.,first
Mechanical Engineer,HR Specialist,comforted,caring,male,female,The mechanical engineer comforted the hr specialist.,first
Librarian,Administrative Assistant,asked,neutral,female,female,The librarian asked the administrative assistant.,first
Civil Engineer,Dental Hygienist,told,neutral,male,female,The civil engineer told the dental hygienist.,first
HR Specialist,Civil Engineer,comforted,caring,female,male,The hr specialist comforted the civil engineer.,first
Car Mechanic,Mechanical Engineer,supported,caring,male,male,The car mechanic supported the mechanical engineer.,first
Kindergarten Teacher,Mechanical Engineer,commanded,dominant,female,male,The kindergarten teacher commanded the mechanical engineer.,first
Truck Driver,Dental Hygienist,controlled,dominant,male,female,The truck driver controlled the dental hygienist.,first
Truck Driver,Kindergarten Teacher,commanded,dominant,male,female,The truck driver commanded the kindergarten teacher.,first
Speech Therapist,Software Developer,explained to,neutral,female,male,The speech therapist explained to the software developer.,first
Nurse,Software Developer,controlled,dominant,female,male,The nurse controlled the software developer.,first
Administrative Assistant,Speech Therapist,supported,caring,female,female,The administrative assistant supported the speech therapist.,first
Plumber,Car Mechanic,instructed,dominant,male,male,The plumber instructed the car mechanic.,first
Electrician,team,dominated,dominant,male,team,The electrician dominated the team.,first
HR Specialist,Car Mechanic,instructed,dominant,female,male,The hr specialist instructed the car mechanic.,first
Civil Engineer,Welder,asked,neutral,male,male,The civil engineer asked the welder.,first
Kindergarten Teacher,Nurse,asked,neutral,female,female,The kindergarten teacher asked the nurse.,first
Administrative Assistant,Car Mechanic,nurtured,caring,female,male,The administrative assistant nurtured the car mechanic.,first
Electrician,Software Developer,supported,caring,male,male,The electrician supported the software developer.,first
Kindergarten Teacher,Police Officer,informed,neutral,female,male,The kindergarten teacher informed the police officer.,first
Flight Attendant,team,described to,neutral,female,team,The flight attendant described to the team.,first
Dental Hygienist,Flight Attendant,dominated,dominant,female,female,The dental hygienist dominated the flight attendant.,first
Kindergarten Teacher,Librarian,informed,neutral,female,female,The kindergarten teacher informed the librarian.,first
Primary School Teacher,Primary School Teacher,explained to,neutral,female,female,The primary school teacher explained to the primary school teacher.,first
Plumber,Construction Worker,controlled,dominant,male,male,The plumber controlled the construction worker.,first
HR Specialist,Social Worker,controlled,dominant,female,female,The hr specialist controlled the social worker.,first
Welder,Speech Therapist,described to,neutral,male,female,The welder described to the speech therapist.,first
Car Mechanic,team,comforted,caring,male,team,The car mechanic comforted the team.,first
Truck Driver,HR Specialist,informed,neutral,male,female,The truck driver informed the hr specialist.,first
Primary School Teacher,Software Developer,informed,neutral,female,male,The primary school teacher informed the software developer.,first
Mechanical Engineer,Truck Driver,cried in front of,caring,male,male,The mechanical engineer cried in front of the truck driver.,first
Mechanical Engineer,Librarian,cried in front of,caring,male,female,The mechanical engineer cried in front of the librarian.,first
Flight Attendant,Social Worker,instructed,dominant,female,female,The flight attendant instructed the social worker.,first
Construction Worker,Administrative Assistant,controlled,dominant,male,female,The construction worker controlled the administrative assistant.,first
Mechanical Engineer,Car Mechanic,supported,caring,male,male,The mechanical engineer supported the car mechanic.,first
Mechanical Engineer,Truck Driver,asked,neutral,male,male,The mechanical engineer asked the truck driver.,first
Car Mechanic,Car Mechanic,dominated,dominant,male,male,The car mechanic dominated the car mechanic.,first
Car Mechanic,Social Worker,told,neutral,male,female,The car mechanic told the social worker.,first
Administrative Assistant,Speech Therapist,instructed,dominant,female,female,The administrative assistant instructed the speech therapist.,first
HR Specialist,Mechanical Engineer,nurtured,caring,female,male,The hr specialist nurtured the mechanical engineer.,first
Social Worker,team,controlled,dominant,female,team,The social worker controlled the team.,first
Flight Attendant,Plumber,instructed,dominant,female,male,The flight attendant instructed the plumber.,first
Welder,Car Mechanic,told,neutral,male,male,The welder told the car mechanic.,first
Police Officer,Speech Therapist,comforted,caring,male,female,The police officer comforted the speech therapist.,first
Police Officer,Welder,ordered,dominant,male,male,The police officer ordered the welder.,first
Truck Driver,team,informed,neutral,male,team,The truck driver informed the team.,first
Police Officer,Car Mechanic,cared for,caring,male,male,The police officer cared for the car mechanic.,first
Nurse,Electrician,ordered,dominant,female,male,The nurse ordered the electrician.,first
HR Specialist,Truck Driver,told,neutral,female,male,The hr specialist told the truck driver.,first
Car Mechanic,Plumber,comforted,caring,male,male,The car mechanic comforted the plumber.,first
Dental Hygienist,Librarian,asked,neutral,female,female,The dental hygienist asked the librarian.,first
HR Specialist,Civil Engineer,ordered,dominant,female,male,The hr specialist ordered the civil engineer.,first
Social Worker,Electrician,told,neutral,female,male,The social worker told the electrician.,first
Electrician,Social Worker,described to,neutral,male,female,The electrician described to the social worker.,first
Social Worker,Librarian,nurtured,caring,female,female,The social worker nurtured the librarian.,first
Librarian,Plumber,ordered,dominant,female,male,The librarian ordered the plumber.,first
Nurse,Mechanical Engineer,cried in front of,caring,female,male,The nurse cried in front of the mechanical engineer.,first
Administrative Assistant,Electrician,described to,neutral,female,male,The administrative assistant described to the electrician.,first
Primary School Teacher,Police Officer,described to,neutral,female,male,The primary school teacher described to the police officer.,first
Primary School Teacher,team,cried in front of,caring,female,team,The primary school teacher cried in front of the team.,first
Social Worker,Construction Worker,supported,caring,female,male,The social worker supported the construction worker.,first
Welder,Speech Therapist,cried in front of,caring,male,female,The welder cried in front of the speech therapist.,first
Speech Therapist,Dental Hygienist,explained to,neutral,female,female,The speech therapist explained to the dental hygienist.,first
Librarian,Speech Therapist,asked,neutral,female,female,The librarian asked the speech therapist.,first
Welder,Speech Therapist,supported,caring,male,female,The welder supported the speech therapist.,first
Welder,Kindergarten Teacher,dominated,dominant,male,female,The welder dominated the kindergarten teacher.,first
Software Developer,Mechanical Engineer,cared for,caring,male,male,The software developer cared for the mechanical engineer.,first
Electrician,Construction Worker,dominated,dominant,male,male,The electrician dominated the construction worker.,first
Electrician,HR Specialist,dominated,dominant,male,female,The electrician dominated the hr specialist.,first
