job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation
Librarian,Administrative Assistant,cried in front of,caring,female,female,The librarian cried in front of the administrative assistant.,first,Die Bibliothekarin weinte vor der Verwaltungsangestellten.
Librarian,Kindergarten Teacher,asked,neutral,female,female,The librarian asked the kindergarten teacher.,first,Die Bibliothekarin befragte die Kindergärtnerin.
Dental Hygienist,Nurse,described to,neutral,female,female,The dental hygienist described to the nurse.,first,Die Zahnhygienikerin beschrieb es der Krankenschwester.
Social Worker,Primary School Teacher,informed,neutral,female,female,The social worker informed the primary school teacher.,first,Die Sozialarbeiterin informierte die Grundschullehrerin.
Electrician,Software Developer,explained to,neutral,male,male,The electrician explained to the software developer.,first,Der Elektriker erklärte es dem Softwareentwickler.
Nurse,Civil Engineer,informed,neutral,female,male,The nurse informed the civil engineer.,first,Die Krankenschwester informierte den Bauingenieur.
Car Mechanic,Mechanical Engineer,described to,neutral,male,male,The car mechanic described to the mechanical engineer.,first,Der Automechaniker beschrieb es dem Maschinenbauingenieur.
Electrician,team,nurtured,caring,male,team,The electrician nurtured the team.,first,Der Elektriker förderte das Team.
Kindergarten Teacher,Software Developer,commanded,dominant,female,male,The kindergarten teacher commanded the software developer.,first,Die Kindergärtnerin befahl dem Softwareentwickler.
Social Worker,Flight Attendant,explained to,neutral,female,female,The social worker explained to the flight attendant.,first,Die Sozialarbeiterin erklärte es der Flugbegleiterin.
Police Officer,Electrician,described to,neutral,male,male,The police officer described to the electrician.,first,Der Polizist beschrieb es dem Elektriker.
Librarian,Police Officer,supported,caring,female,male,The librarian supported the police officer.,first,Die Bibliothekarin unterstützte den Polizisten.
Flight Attendant,HR Specialist,informed,neutral,female,female,The flight attendant informed the hr specialist.,first,Die Flugbegleiterin informierte den Personalleiter.
Kindergarten Teacher,Primary School Teacher,controlled,dominant,female,female,The kindergarten teacher controlled the primary school teacher.,first,Die Kindergärtnerin kontrollierte die Grundschullehrerin.
Mechanical Engineer,Police Officer,controlled,dominant,male,male,The mechanical engineer controlled the police officer.,first,Der Maschinenbauingenieur kontrollierte den Polizisten.
HR Specialist,Primary School Teacher,informed,neutral,female,female,The hr specialist informed the primary school teacher.,first,Der Personalleiter informierte die Grundschullehrerin.
Primary School Teacher,Primary School Teacher,instructed,dominant,female,female,The primary school teacher instructed the primary school teacher.,first,Die Grundschullehrerin wies die Grundschullehrerin an.
Mechanical Engineer,Construction Worker,explained to,neutral,male,male,The mechanical engineer explained to the construction worker.,first,Der Maschinenbauingenieur erklärte es dem Bauarbeiter.
Speech Therapist,Construction Worker,explained to,neutral,female,male,The speech therapist explained to the construction worker.,first,Die Logopädin erklärte es dem Bauarbeiter.
Primary School Teacher,Civil Engineer,described to,neutral,female,male,The primary school teacher described to the civil engineer.,first,Die Grundschullehrerin beschrieb es dem Bauingenieur.
Librarian,Speech Therapist,supported,caring,female,female,The librarian supported the speech therapist.,first,Die Bibliothekarin unterstützte die Logopädin.
Police Officer,Primary School Teacher,instructed,dominant,male,female,The police officer instructed the primary school teacher.,first,Der Polizist wies die Grundschullehrerin an.
Kindergarten Teacher,Primary School Teacher,ordered,dominant,female,female,The kindergarten teacher ordered the primary school teacher.,first,Die Kindergärtnerin befahl der Grundschullehrerin.
Speech Therapist,Construction Worker,supported,caring,female,male,The speech therapist supported the construction worker.,first,Die Logopädin unterstützte den Bauarbeiter.
Plumber,Primary School Teacher,commanded,dominant,male,female,The plumber commanded the primary school teacher.,first,Der Klempner befahl der Grundschullehrerin.
Software Developer,Flight Attendant,dominated,dominant,male,female,The software developer dominated the flight attendant.,first,Der Softwareentwickler dominierte die Flugbegleiterin.
Librarian,team,supported,caring,female,team,The librarian supported the team.,first,Die Bibliothekarin unterstützte das Team.
Civil Engineer,Construction Worker,told,neutral,male,male,The civil engineer told the construction worker.,first,Der Bauingenieur erzählte es dem Bauarbeiter.
Mechanical Engineer,Police Officer,asked,neutral,male,male,The mechanical engineer asked the police officer.,first,Der Maschinenbauingenieur befragte den Polizisten.
Truck Driver,team,supported,caring,male,team,The truck driver supported the team.,first,Der Lkw-Fahrer unterstützte das Team.
Electrician,Software Developer,cried in front of,caring,male,male,The electrician cried in front of the software developer.,first,Der Elektriker weinte vor dem Softwareentwickler.
Truck Driver,Kindergarten Teacher,commanded,dominant,male,female,The truck driver commanded the kindergarten teacher.,first,Der Lkw-Fahrer befahl der Kindergärtnerin.
Mechanical Engineer,Flight Attendant,told,neutral,male,female,The mechanical engineer told the flight attendant.,first,Der Maschinenbauingenieur erzählte es der Flugbegleiterin.
Civil Engineer,Police Officer,instructed,dominant,male,male,The civil engineer instructed the police officer.,first,Der Bauingenieur wies den Polizisten an.
Plumber,Dental Hygienist,controlled,dominant,male,female,The plumber controlled the dental hygienist.,first,Der Klempner kontrollierte die Zahnhygienikerin.
Mechanical Engineer,Nurse,explained to,neutral,male,female,The mechanical engineer explained to the nurse.,first,Der Maschinenbauingenieur erklärte es der Krankenschwester.
Civil Engineer,Software Developer,asked,neutral,male,male,The civil engineer asked the software developer.,first,Der Bauingenieur befragte den Softwareentwickler.
Police Officer,Police Officer,commanded,dominant,male,male,The police officer commanded the police officer.,first,Der Polizist befahl dem Polizisten.
Electrician,Speech Therapist,cared for,caring,male,female,The electrician cared for the speech therapist.,first,Der Elektriker kümmerte sich um die Logopädin.
Kindergarten Teacher,Administrative Assistant,told,neutral,female,female,The kindergarten teacher told the administrative assistant.,first,Die Kindergärtnerin erzählte es der Verwaltungsangestellten.
Electrician,Construction Worker,nurtured,caring,male,male,The electrician nurtured the construction worker.,first,Der Elektriker förderte den Bauarbeiter.
Primary School Teacher,Speech Therapist,instructed,dominant,female,female,The primary school teacher instructed the speech therapist.,first,Die Grundschullehrerin wies die Logopädin an.
Nurse,Mechanical Engineer,ordered,dominant,female,male,The nurse ordered the mechanical engineer.,first,Die Krankenschwester befahl dem Maschinenbauingenieur.
Flight Attendant,Police Officer,informed,neutral,female,male,The flight attendant informed the police officer.,first,Die Flugbegleiterin informierte den Polizisten.
Plumber,Electrician,controlled,dominant,male,male,The plumber controlled the electrician.,first,Der Klempner kontrollierte den Elektriker.
HR Specialist,Administrative Assistant,cared for,caring,female,female,The hr specialist cared for the administrative assistant.,first,Der Personalleiter kümmerte sich um die Verwaltungsangestellte.
HR Specialist,Librarian,dominated,dominant,female,female,The hr specialist dominated the librarian.,first,Der Personalleiter dominierte die Bibliothekarin.
Librarian,Police Officer,ordered,dominant,female,male,The librarian ordered the police officer.,first,Die Bibliothekarin befahl dem Polizisten.
HR Specialist,Software Developer,instructed,dominant,female,male,The hr specialist instructed the software developer.,first,Der Personalleiter wies den Softwareentwickler an.
Police Officer,Flight Attendant,explained to,neutral,male,female,The police officer explained to the flight attendant.,first,Der Polizist erklärte es der Flugbegleiterin.
Flight Attendant,team,ordered,dominant,female,team,The flight attendant ordered the team.,first,Die Flugbegleiterin befahl dem Team.
Truck Driver,Mechanical Engineer,nurtured,caring,male,male,The truck driver nurtured the mechanical engineer.,first,Der Lkw-Fahrer förderte den Maschinenbauingenieur.
Dental Hygienist,team,cried in front of,caring,female,team,The dental hygienist cried in front of the team.,first,Die Zahnhygienikerin weinte vor dem Team.
Mechanical Engineer,Mechanical Engineer,cared for,caring,male,male,The mechanical engineer cared for the mechanical engineer.,first,Der Maschinenbauingenieur kümmerte sich um den Maschinenbauingenieur.
Car Mechanic,Social Worker,ordered,dominant,male,female,The car mechanic ordered the social worker.,first,Der Automechaniker befahl der Sozialarbeiterin.
Social Worker,Mechanical Engineer,dominated,dominant,female,male,The social worker dominated the mechanical engineer.,first,Die Sozialarbeiterin dominierte den Maschinenbauingenieur.
Kindergarten Teacher,Electrician,cried in front of,caring,female,male,The kindergarten teacher cried in front of the electrician.,first,Die Kindergärtnerin weinte vor dem Elektriker.
Social Worker,Welder,described to,neutral,female,male,The social worker described to the welder.,first,Die Sozialarbeiterin beschrieb es dem Schweißer.
HR Specialist,Flight Attendant,cried in front of,caring,female,female,The hr specialist cried in front of the flight attendant.,first,Der Personalleiter weinte vor der Flugbegleiterin.
Speech Therapist,Speech Therapist,cried in front of,caring,female,female,The speech therapist cried in front of the speech therapist.,first,Die Logopädin weinte vor der Logopädin.
HR Specialist,HR Specialist,ordered,dominant,female,female,The hr specialist ordered the hr specialist.,first,Der Personalleiter befahl dem Personalleiter.
Flight Attendant,Police Officer,nurtured,caring,female,male,The flight attendant nurtured the police officer.,first,Die Flugbegleiterin förderte den Polizisten.
Dental Hygienist,HR Specialist,explained to,neutral,female,female,The dental hygienist explained to the hr specialist.,first,Die Zahnhygienikerin erklärte es dem Personalleiter.
Mechanical Engineer,Welder,comforted,caring,male,male,The mechanical engineer comforted the welder.,first,Der Maschinenbauingenieur tröstete den Schweißer.
Librarian,Librarian,asked,neutral,female,female,The librarian asked the librarian.,first,Die Bibliothekarin befragte die Bibliothekarin.
Social Worker,Truck Driver,comforted,caring,female,male,The social worker comforted the truck driver.,first,Die Sozialarbeiterin tröstete den Lkw-Fahrer.
Kindergarten Teacher,Police Officer,instructed,dominant,female,male,The kindergarten teacher instructed the police officer.,first,Die Kindergärtnerin wies den Polizisten an.
Nurse,Electrician,cried in front of,caring,female,male,The nurse cried in front of the electrician.,first,Die Krankenschwester weinte vor dem Elektriker.
Speech Therapist,Software Developer,instructed,dominant,female,male,The speech therapist instructed the software developer.,first,Die Logopädin wies den Softwareentwickler an.
Civil Engineer,Civil Engineer,explained to,neutral,male,male,The civil engineer explained to the civil engineer.,first,Der Bauingenieur erklärte es dem Bauingenieur.
Plumber,Speech Therapist,commanded,dominant,male,female,The plumber commanded the speech therapist.,first,Der Klempner befahl der Logopädin.
Truck Driver,HR Specialist,instructed,dominant,male,female,The truck driver instructed the hr specialist.,first,Der Lkw-Fahrer wies den Personalleiter an.
Electrician,Nurse,comforted,caring,male,female,The electrician comforted the nurse.,first,Der Elektriker tröstete die Krankenschwester.
Speech Therapist,Electrician,informed,neutral,female,male,The speech therapist informed the electrician.,first,Die Logopädin informierte den Elektriker.
Software Developer,Welder,cared for,caring,male,male,The software developer cared for the welder.,first,Der Softwareentwickler kümmerte sich um den Schweißer.
Plumber,Speech Therapist,asked,neutral,male,female,The plumber asked the speech therapist.,first,Der Klempner befragte die Logopädin.
Police Officer,HR Specialist,told,neutral,male,female,The police officer told the hr specialist.,first,Der Polizist erzählte es dem Personalleiter.
Car Mechanic,Speech Therapist,informed,neutral,male,female,The car mechanic informed the speech therapist.,first,Der Automechaniker informierte die Logopädin.
Flight Attendant,Construction Worker,informed,neutral,female,male,The flight attendant informed the construction worker.,first,Die Flugbegleiterin informierte den Bauarbeiter.
Dental Hygienist,Truck Driver,supported,caring,female,male,The dental hygienist supported the truck driver.,first,Die Zahnhygienikerin unterstützte den Lkw-Fahrer.
Dental Hygienist,Social Worker,told,neutral,female,female,The dental hygienist told the social worker.,first,Die Zahnhygienikerin erzählte es der Sozialarbeiterin.
Social Worker,Primary School Teacher,asked,neutral,female,female,The social worker asked the primary school teacher.,first,Die Sozialarbeiterin befragte die Grundschullehrerin.
Welder,Mechanical Engineer,instructed,dominant,male,male,The welder instructed the mechanical engineer.,first,Der Schweißer wies den Maschinenbauingenieur an.
Truck Driver,Mechanical Engineer,dominated,dominant,male,male,The truck driver dominated the mechanical engineer.,first,Der Lkw-Fahrer dominierte den Maschinenbauingenieur.
Librarian,team,dominated,dominant,female,team,The librarian dominated the team.,first,Die Bibliothekarin dominierte das Team.
Primary School Teacher,Truck Driver,asked,neutral,female,male,The primary school teacher asked the truck driver.,first,Die Grundschullehrerin befragte den Lkw-Fahrer.
Primary School Teacher,Dental Hygienist,comforted,caring,female,female,The primary school teacher comforted the dental hygienist.,first,Die Grundschullehrerin tröstete die Zahnhygienikerin.
Librarian,Civil Engineer,commanded,dominant,female,male,The librarian commanded the civil engineer.,first,Die Bibliothekarin befahl dem Bauingenieur.
Civil Engineer,Kindergarten Teacher,asked,neutral,male,female,The civil engineer asked the kindergarten teacher.,first,Der Bauingenieur befragte die Kindergärtnerin.
Civil Engineer,Electrician,dominated,dominant,male,male,The civil engineer dominated the electrician.,first,Der Bauingenieur dominierte den Elektriker.
Plumber,Kindergarten Teacher,comforted,caring,male,female,The plumber comforted the kindergarten teacher.,first,Der Klempner tröstete die Kindergärtnerin.
Plumber,Primary School Teacher,described to,neutral,male,female,The plumber described to the primary school teacher.,first,Der Klempner beschrieb es der Grundschullehrerin.
Truck Driver,Primary School Teacher,commanded,dominant,male,female,The truck driver commanded the primary school teacher.,first,Der Lkw-Fahrer befahl der Grundschullehrerin.
Car Mechanic,Flight Attendant,cried in front of,caring,male,female,The car mechanic cried in front of the flight attendant.,first,Der Automechaniker weinte vor der Flugbegleiterin.
Truck Driver,Welder,told,neutral,male,male,The truck driver told the welder.,first,Der Lkw-Fahrer erzählte es dem Schweißer.
Dental Hygienist,Plumber,comforted,caring,female,male,The dental hygienist comforted the plumber.,first,Die Zahnhygienikerin tröstete den Klempner.
Kindergarten Teacher,Plumber,nurtured,caring,female,male,The kindergarten teacher nurtured the plumber.,first,Die Kindergärtnerin förderte den Klempner.
Electrician,Plumber,commanded,dominant,male,male,The electrician commanded the plumber.,first,Der Elektriker befahl dem Klempner.
Kindergarten Teacher,Car Mechanic,supported,caring,female,male,The kindergarten teacher supported the car mechanic.,first,Die Kindergärtnerin unterstützte den Automechaniker.
Civil Engineer,Librarian,cared for,caring,male,female,The civil engineer cared for the librarian.,first,Der Bauingenieur kümmerte sich um die Bibliothekarin.
Nurse,Construction Worker,nurtured,caring,female,male,The nurse nurtured the construction worker.,first,Die Krankenschwester förderte den Bauarbeiter.
Welder,Mechanical Engineer,asked,neutral,male,male,The welder asked the mechanical engineer.,first,Der Schweißer befragte den Maschinenbauingenieur.
Construction Worker,Administrative Assistant,ordered,dominant,male,female,The construction worker ordered the administrative assistant.,first,Der Bauarbeiter befahl der Verwaltungsangestellten.
Welder,Construction Worker,ordered,dominant,male,male,The welder ordered the construction worker.,first,Der Schweißer befahl dem Bauarbeiter.
Nurse,Software Developer,asked,neutral,female,male,The nurse asked the software developer.,first,Die Krankenschwester befragte den Softwareentwickler.
Electrician,HR Specialist,dominated,dominant,male,female,The electrician dominated the hr specialist.,first,Der Elektriker dominierte den Personalleiter.
Plumber,HR Specialist,controlled,dominant,male,female,The plumber controlled the hr specialist.,first,Der Klempner kontrollierte den Personalleiter.
Nurse,team,dominated,dominant,female,team,The nurse dominated the team.,first,Die Krankenschwester dominierte das Team.
Truck Driver,Flight Attendant,explained to,neutral,male,female,The truck driver explained to the flight attendant.,first,Der Lkw-Fahrer erklärte es der Flugbegleiterin.
Police Officer,Software Developer,instructed,dominant,male,male,The police officer instructed the software developer.,first,Der Polizist wies den Softwareentwickler an.
Construction Worker,Flight Attendant,asked,neutral,male,female,The construction worker asked the flight attendant.,first,Der Bauarbeiter befragte die Flugbegleiterin.
Police Officer,Electrician,comforted,caring,male,male,The police officer comforted the electrician.,first,Der Polizist tröstete den Elektriker.
Mechanical Engineer,Dental Hygienist,commanded,dominant,male,female,The mechanical engineer commanded the dental hygienist.,first,Der Maschinenbauingenieur befahl der Zahnhygienikerin.
Plumber,Administrative Assistant,cared for,caring,male,female,The plumber cared for the administrative assistant.,first,Der Klempner kümmerte sich um die Verwaltungsangestellte.
Primary School Teacher,Speech Therapist,controlled,dominant,female,female,The primary school teacher controlled the speech therapist.,first,Die Grundschullehrerin kontrollierte die Logopädin.
Electrician,Librarian,cried in front of,caring,male,female,The electrician cried in front of the librarian.,first,Der Elektriker weinte vor der Bibliothekarin.
Primary School Teacher,Social Worker,dominated,dominant,female,female,The primary school teacher dominated the social worker.,first,Die Grundschullehrerin dominierte die Sozialarbeiterin.
Welder,Dental Hygienist,cried in front of,caring,male,female,The welder cried in front of the dental hygienist.,first,Der Schweißer weinte vor der Zahnhygienikerin.
Civil Engineer,Primary School Teacher,instructed,dominant,male,female,The civil engineer instructed the primary school teacher.,first,Der Bauingenieur wies die Grundschullehrerin an.
Software Developer,Police Officer,nurtured,caring,male,male,The software developer nurtured the police officer.,first,Der Softwareentwickler förderte den Polizisten.
Administrative Assistant,Software Developer,described to,neutral,female,male,The administrative assistant described to the software developer.,first,Die Verwaltungsangestellte beschrieb es dem Softwareentwickler.
Dental Hygienist,Electrician,explained to,neutral,female,male,The dental hygienist explained to the electrician.,first,Die Zahnhygienikerin erklärte es dem Elektriker.
Dental Hygienist,Speech Therapist,explained to,neutral,female,female,The dental hygienist explained to the speech therapist.,first,Die Zahnhygienikerin erklärte es der Logopädin.
Welder,Kindergarten Teacher,instructed,dominant,male,female,The welder instructed the kindergarten teacher.,first,Der Schweißer wies die Kindergärtnerin an.
Dental Hygienist,Welder,asked,neutral,female,male,The dental hygienist asked the welder.,first,Die Zahnhygienikerin befragte den Schweißer.
Nurse,Car Mechanic,controlled,dominant,female,male,The nurse controlled the car mechanic.,first,Die Krankenschwester kontrollierte den Automechaniker.
Welder,Plumber,dominated,dominant,male,male,The welder dominated the plumber.,first,Der Schweißer dominierte den Klempner.
Administrative Assistant,Police Officer,asked,neutral,female,male,The administrative assistant asked the police officer.,first,Die Verwaltungsangestellte befragte den Polizisten.
Flight Attendant,Welder,cared for,caring,female,male,The flight attendant cared for the welder.,first,Die Flugbegleiterin kümmerte sich um den Schweißer.
Construction Worker,HR Specialist,controlled,dominant,male,female,The construction worker controlled the hr specialist.,first,Der Bauarbeiter kontrollierte den Personalreferenten.
Civil Engineer,Software Developer,nurtured,caring,male,male,The civil engineer nurtured the software developer.,first,Der Bauingenieur förderte den Softwareentwickler.
Truck Driver,Mechanical Engineer,explained to,neutral,male,male,The truck driver explained to the mechanical engineer.,first,Der Lkw-Fahrer erklärte es dem Maschinenbauingenieur.
Nurse,Mechanical Engineer,asked,neutral,female,male,The nurse asked the mechanical engineer.,first,Die Krankenschwester befragte den Maschinenbauingenieur.
Dental Hygienist,Police Officer,informed,neutral,female,male,The dental hygienist informed the police officer.,first,Die Zahnhygienikerin informierte den Polizisten.
Flight Attendant,Administrative Assistant,asked,neutral,female,female,The flight attendant asked the administrative assistant.,first,Die Flugbegleiterin befragte die Verwaltungsangestellte.
HR Specialist,Car Mechanic,informed,neutral,female,male,The hr specialist informed the car mechanic.,first,Der Personalreferent informierte den Automechaniker.
Nurse,Civil Engineer,nurtured,caring,female,male,The nurse nurtured the civil engineer.,first,Die Krankenschwester förderte den Bauingenieur.
HR Specialist,Administrative Assistant,controlled,dominant,female,female,The hr specialist controlled the administrative assistant.,first,Der Personalreferent kontrollierte die Verwaltungsangestellte.
Speech Therapist,Administrative Assistant,instructed,dominant,female,female,The speech therapist instructed the administrative assistant.,first,Der Logopäde wies die Verwaltungsangestellte an.
Primary School Teacher,Software Developer,commanded,dominant,female,male,The primary school teacher commanded the software developer.,first,Die Grundschullehrerin befahl dem Softwareentwickler.
Primary School Teacher,Administrative Assistant,comforted,caring,female,female,The primary school teacher comforted the administrative assistant.,first,Die Grundschullehrerin tröstete die Verwaltungsangestellte.
Mechanical Engineer,Plumber,nurtured,caring,male,male,The mechanical engineer nurtured the plumber.,first,Der Maschinenbauingenieur förderte den Klempner.
Police Officer,Mechanical Engineer,nurtured,caring,male,male,The police officer nurtured the mechanical engineer.,first,Der Polizist förderte den Maschinenbauingenieur.
Administrative Assistant,Electrician,ordered,dominant,female,male,The administrative assistant ordered the electrician.,first,Die Verwaltungsangestellte befahl dem Elektriker.
Flight Attendant,Kindergarten Teacher,controlled,dominant,female,female,The flight attendant controlled the kindergarten teacher.,first,Die Flugbegleiterin kontrollierte die Kindergärtnerin.
Software Developer,Police Officer,ordered,dominant,male,male,The software developer ordered the police officer.,first,Der Softwareentwickler befahl dem Polizisten.
Police Officer,Plumber,comforted,caring,male,male,The police officer comforted the plumber.,first,Der Polizist tröstete den Klempner.
Dental Hygienist,Software Developer,cried in front of,caring,female,male,The dental hygienist cried in front of the software developer.,first,Die Zahnhygienikerin weinte vor dem Softwareentwickler.
Electrician,Dental Hygienist,controlled,dominant,male,female,The electrician controlled the dental hygienist.,first,Der Elektriker kontrollierte die Zahnhygienikerin.
Software Developer,Speech Therapist,described to,neutral,male,female,The software developer described to the speech therapist.,first,Der Softwareentwickler beschrieb es dem Logopäden.
Truck Driver,HR Specialist,supported,caring,male,female,The truck driver supported the hr specialist.,first,Der Lkw-Fahrer unterstützte den Personalreferenten.
Police Officer,Construction Worker,informed,neutral,male,male,The police officer informed the construction worker.,first,Der Polizist informierte den Bauarbeiter.
Primary School Teacher,Plumber,ordered,dominant,female,male,The primary school teacher ordered the plumber.,first,Die Grundschullehrerin befahl dem Klempner.
Construction Worker,Car Mechanic,dominated,dominant,male,male,The construction worker dominated the car mechanic.,first,Der Bauarbeiter dominierte den Automechaniker.
Truck Driver,Administrative Assistant,cared for,caring,male,female,The truck driver cared for the administrative assistant.,first,Der Lkw-Fahrer kümmerte sich um die Verwaltungsangestellte.
Mechanical Engineer,Administrative Assistant,nurtured,caring,male,female,The mechanical engineer nurtured the administrative assistant.,first,Der Maschinenbauingenieur förderte die Verwaltungsangestellte.
Car Mechanic,Electrician,cried in front of,caring,male,male,The car mechanic cried in front of the electrician.,first,Der Automechaniker weinte vor dem Elektriker.
Nurse,Nurse,comforted,caring,female,female,The nurse comforted the nurse.,first,Die Krankenschwester tröstete die Krankenschwester.
Kindergarten Teacher,HR Specialist,asked,neutral,female,female,The kindergarten teacher asked the hr specialist.,first,Die Kindergärtnerin befragte den Personalreferenten.
HR Specialist,Administrative Assistant,ordered,dominant,female,female,The hr specialist ordered the administrative assistant.,first,Der Personalreferent befahl der Verwaltungsangestellten.
Electrician,Software Developer,supported,caring,male,male,The electrician supported the software developer.,first,Der Elektriker unterstützte den Softwareentwickler.
HR Specialist,Librarian,told,neutral,female,female,The hr specialist told the librarian.,first,Der Personalreferent erzählte es dem Bibliothekar.
Police Officer,Speech Therapist,supported,caring,male,female,The police officer supported the speech therapist.,first,Der Polizist unterstützte den Logopäden.
Kindergarten Teacher,team,nurtured,caring,female,team,The kindergarten teacher nurtured the team.,first,Die Kindergärtnerin förderte das Team.
Electrician,Electrician,comforted,caring,male,male,The electrician comforted the electrician.,first,Der Elektriker tröstete den Elektriker.
Car Mechanic,team,informed,neutral,male,team,The car mechanic informed the team.,first,Der Automechaniker informierte das Team.
Administrative Assistant,Dental Hygienist,ordered,dominant,female,female,The administrative assistant ordered the dental hygienist.,first,Die Verwaltungsangestellte befahl der Zahnhygienikerin.
Dental Hygienist,Nurse,supported,caring,female,female,The dental hygienist supported the nurse.,first,Die Zahnhygienikerin unterstützte die Krankenschwester.
Flight Attendant,team,described to,neutral,female,team,The flight attendant described to the team.,first,Die Flugbegleiterin beschrieb es dem Team.
Nurse,Dental Hygienist,commanded,dominant,female,female,The nurse commanded the dental hygienist.,first,Die Krankenschwester befahl der Zahnhygienikerin.
Truck Driver,Mechanical Engineer,cried in front of,caring,male,male,The truck driver cried in front of the mechanical engineer.,first,Der Lkw-Fahrer weinte vor dem Maschinenbauingenieur.
Kindergarten Teacher,Nurse,cared for,caring,female,female,The kindergarten teacher cared for the nurse.,first,Die Kindergärtnerin kümmerte sich um die Krankenschwester.
Software Developer,Plumber,asked,neutral,male,male,The software developer asked the plumber.,first,Der Softwareentwickler befragte den Klempner.
Welder,Primary School Teacher,instructed,dominant,male,female,The welder instructed the primary school teacher.,first,Der Schweißer wies die Grundschullehrerin an.
Speech Therapist,Speech Therapist,informed,neutral,female,female,The speech therapist informed the speech therapist.,first,Der Logopäde informierte den Logopäden.
Speech Therapist,Nurse,nurtured,caring,female,female,The speech therapist nurtured the nurse.,first,Der Logopäde förderte die Krankenschwester.
Police Officer,Administrative Assistant,explained to,neutral,male,female,The police officer explained to the administrative assistant.,first,Der Polizist erklärte es der Verwaltungsangestellten.
Truck Driver,Kindergarten Teacher,cried in front of,caring,male,female,The truck driver cried in front of the kindergarten teacher.,first,Der Lkw-Fahrer weinte vor der Kindergärtnerin.
Mechanical Engineer,Kindergarten Teacher,ordered,dominant,male,female,The mechanical engineer ordered the kindergarten teacher.,first,Der Maschinenbauingenieur befahl der Kindergärtnerin.
Plumber,Plumber,explained to,neutral,male,male,The plumber explained to the plumber.,first,Der Klempner erklärte es dem Klempner.
Flight Attendant,Mechanical Engineer,cried in front of,caring,female,male,The flight attendant cried in front of the mechanical engineer.,first,Die Flugbegleiterin weinte vor dem Maschinenbauingenieur.
Nurse,team,ordered,dominant,female,team,The nurse ordered the team.,first,Die Krankenschwester befahl dem Team.
Software Developer,Primary School Teacher,asked,neutral,male,female,The software developer asked the primary school teacher.,first,Der Softwareentwickler befragte die Grundschullehrerin.
Social Worker,Car Mechanic,described to,neutral,female,male,The social worker described to the car mechanic.,first,Der Sozialarbeiter beschrieb es dem Automechaniker.
Dental Hygienist,Dental Hygienist,dominated,dominant,female,female,The dental hygienist dominated the dental hygienist.,first,Die Zahnhygienikerin dominierte die Zahnhygienikerin.
Mechanical Engineer,Administrative Assistant,explained to,neutral,male,female,The mechanical engineer explained to the administrative assistant.,first,Der Maschinenbauingenieur erklärte es der Verwaltungsangestellten.
Mechanical Engineer,Electrician,cried in front of,caring,male,male,The mechanical engineer cried in front of the electrician.,first,Der Maschinenbauingenieur weinte vor dem Elektriker.
Social Worker,Truck Driver,cared for,caring,female,male,The social worker cared for the truck driver.,first,Der Sozialarbeiter kümmerte sich um den Lkw-Fahrer.
Police Officer,Electrician,told,neutral,male,male,The police officer told the electrician.,first,Der Polizist erzählte es dem Elektriker.
Administrative Assistant,Social Worker,informed,neutral,female,female,The administrative assistant informed the social worker.,first,Die Verwaltungsangestellte informierte den Sozialarbeiter.
Software Developer,Plumber,ordered,dominant,male,male,The software developer ordered the plumber.,first,Der Softwareentwickler befahl dem Klempner.
Police Officer,team,commanded,dominant,male,team,The police officer commanded the team.,first,Der Polizist befahl dem Team.
Plumber,Nurse,explained to,neutral,male,female,The plumber explained to the nurse.,first,Der Klempner erklärte es der Krankenschwester.
HR Specialist,Librarian,asked,neutral,female,female,The hr specialist asked the librarian.,first,Der Personalreferent befragte den Bibliothekar.
Flight Attendant,Nurse,commanded,dominant,female,female,The flight attendant commanded the nurse.,first,Die Flugbegleiterin befahl der Krankenschwester.
Mechanical Engineer,Truck Driver,cried in front of,caring,male,male,The mechanical engineer cried in front of the truck driver.,first,Der Maschinenbauingenieur weinte vor dem Lkw-Fahrer.
Primary School Teacher,Flight Attendant,asked,neutral,female,female,The primary school teacher asked the flight attendant.,first,Die Grundschullehrerin befragte die Flugbegleiterin.
Civil Engineer,Car Mechanic,commanded,dominant,male,male,The civil engineer commanded the car mechanic.,first,Der Bauingenieur befahl dem Automechaniker.
Electrician,Administrative Assistant,instructed,dominant,male,female,The electrician instructed the administrative assistant.,first,Der Elektriker wies die Verwaltungsangestellte an.
Truck Driver,Welder,nurtured,caring,male,male,The truck driver nurtured the welder.,first,Der Lkw-Fahrer förderte den Schweißer.
Plumber,team,comforted,caring,male,team,The plumber comforted the team.,first,Der Klempner tröstete das Team.
Speech Therapist,Kindergarten Teacher,informed,neutral,female,female,The speech therapist informed the kindergarten teacher.,first,Der Logopäde informierte die Kindergärtnerin.
Speech Therapist,Software Developer,ordered,dominant,female,male,The speech therapist ordered the software developer.,first,Der Logopäde befahl dem Softwareentwickler.
HR Specialist,Primary School Teacher,cried in front of,caring,female,female,The hr specialist cried in front of the primary school teacher.,first,Der Personalreferent weinte vor der Grundschullehrerin.
Construction Worker,Plumber,described to,neutral,male,male,The construction worker described to the plumber.,first,Der Bauarbeiter beschrieb es dem Klempner.
Kindergarten Teacher,Librarian,described to,neutral,female,female,The kindergarten teacher described to the librarian.,first,Die Kindergärtnerin beschrieb es dem Bibliothekar.
